timestamp,id,device,s2dinv1.encltmp.mag.f,s3dinv1.encltmp.mag.f,s4dinv1.encltmp.mag.f,s5dinv1.encltmp.mag.f,tmpcntdinv1.encltmp.mag.f,tmppctdinv1.encltmp.mag.f,s4dinv1.heatsinktmp.mag.f,s2dinv1.heatsinktmp.mag.f,s3dinv1.heatsinktmp.mag.f,s5dinv1.heatsinktmp.mag.f,tmpcntdinv1.heatsinktmp.mag.f,tmppctdinv1.heatsinktmp.mag.f,s4mmdc1.amp.mag.f,s2mmdc1.amp.mag.f,s3mmdc1.amp.mag.f,s5mmdc1.amp.mag.f,tmpcntmmdc1.amp.mag.f,tmppctmmdc1.amp.mag.f,s4mmdc1.vol.mag.f,s2mmdc1.vol.mag.f,s3mmdc1.vol.mag.f,s5mmdc1.vol.mag.f,tmpcntmmdc1.vol.mag.f,tmppctmmdc1.vol.mag.f,s4mmdc1.watt.mag.f,s2mmdc1.watt.mag.f,s3mmdc1.watt.mag.f,s5mmdc1.watt.mag.f,tmpcntmmdc1.watt.mag.f,tmppctmmdc1.watt.mag.f,s4mmxu1.totw.mag.f,s2mmxu1.totw.mag.f,s3mmxu1.totw.mag.f,s5mmxu1.totw.mag.f,tmpcntmmxu1.totw.mag.f,tmppctmmxu1.totw.mag.f
12/30/2024 1:23,6093417,NARB_ECP001_S3_SHL001Inverter01,,,0,0,0,,2.500675232,,,0.001027908,0,,0,,,0,0,,1.561450958,1.561450958,1.561450958,0,10,100,0,0,0,0,10,100,0,0,0,0,10,100
12/30/2024 1:33,6094252,NARB_ECP001_S3_SHL001Inverter01,,,0,0,0,,2.475749798,,,0.001027908,0,,0,,,0,0,,1.824235916,1.824235916,1.824235916,0,10,100,0,0,0,0,10,100,0,0,0,0,10,100
12/30/2024 1:13,6094256,NARB_ECP001_S3_SHL001Inverter01,,,0,0,0,,2.461506692,,,0.001027908,0,,0,,,0,0,,1.474442017,-1.131520629,1.791381836,0.699085475,10,100,0,0,0,0,10,100,0,0,0,0,10,100
