timestamp,id,device,s2dinv1.encltmp.mag.f,s3dinv1.encltmp.mag.f,s4dinv1.encltmp.mag.f,s5dinv1.encltmp.mag.f,tmpcntdinv1.encltmp.mag.f,tmppctdinv1.encltmp.mag.f,s4dinv1.heatsinktmp.mag.f,s2dinv1.heatsinktmp.mag.f,s3dinv1.heatsinktmp.mag.f,s5dinv1.heatsinktmp.mag.f,tmpcntdinv1.heatsinktmp.mag.f,tmppctdinv1.heatsinktmp.mag.f,s4mmdc1.amp.mag.f,s2mmdc1.amp.mag.f,s3mmdc1.amp.mag.f,s5mmdc1.amp.mag.f,tmpcntmmdc1.amp.mag.f,tmppctmmdc1.amp.mag.f,s4mmdc1.vol.mag.f,s2mmdc1.vol.mag.f,s3mmdc1.vol.mag.f,s5mmdc1.vol.mag.f,tmpcntmmdc1.vol.mag.f,tmppctmmdc1.vol.mag.f,s4mmdc1.watt.mag.f,s2mmdc1.watt.mag.f,s3mmdc1.watt.mag.f,s5mmdc1.watt.mag.f,tmpcntmmdc1.watt.mag.f,tmppctmmdc1.watt.mag.f,s4mmxu1.totw.mag.f,s2mmxu1.totw.mag.f,s3mmxu1.totw.mag.f,s5mmxu1.totw.mag.f,tmpcntmmxu1.totw.mag.f,tmppctmmxu1.totw.mag.f
2024-12-30 09:23:20,6098035,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,3.050198714,,,0.006776201,0,,46.00019772,35.29999924,54.60000229,6.814710012,9,100.0,630.7919968,601.5805664,666.2654419,15.05314626,16,100.0,31.37904326,24.03308678,37.07704163,4.514363484,10,100.0,28.65198442,21.5,34.10000229,4.336880191,10,100.0
2024-12-30 12:30:00,6098457,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,1,,3.243525294,3.250976324,3.250976324,0.00560555,2,50.0,258.3075962,240.6000061,276.6000061,7.088637925,9,88.88888889,639.7535214,618.5913696,695.3733521,14.53394337,14,92.85714286,166.8572878,151.6666718,171.7708282,5.29534381,9,83.33616892,160.1830042,145.6000061,164.9000092,5.083530208,9,88.88888889
2024-12-30 12:20:00,6098876,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,3.180885738,,,0.005225698,0,,267.9431561,263.6000061,271.6000061,2.003454374,8,100.0,613.1114754,577.0855103,649.0223389,10.82901371,15,100.0,167.3361513,166.9791718,168.0208282,0.378755508,10,100.0,160.6427109,160.3000031,161.3000031,0.363606971,10,100.0
2024-12-30 12:30:00,6098877,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,3.198988086,,,0.005225698,0,,264.997393,261.1000061,268.1000061,1.317830049,9,100.0,615.4940674,590.2779541,638.4325562,10.11548573,14,100.0,165.2895727,164.3749847,166.4583282,0.698248113,10,100.0,158.6780006,157.8000031,159.8000031,0.670319974,10,100.0
2024-12-30 12:00:00,6099294,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,3.190681802,,,0.004538943,0,,251.108056,247.4000092,253.6999969,1.654035996,9,100.0,617.369751,578.3799438,662.2672729,15.68966843,18,100.0,156.7378169,154.7916718,158.4375,1.09500396,10,100.0,150.4683072,148.6000061,152.1000061,1.051204537,10,100.0
2024-12-30 14:56:40,6099715,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,3.061722925,,,0.00517384,0,,132.7037574,127.8000031,145.4000092,7.745165535,5,100.0,621.1540642,586.3640747,672.9822388,20.3688782,16,100.0,85.82132811,77.74416351,95.43505096,5.626412342,10,100.0,81.80023748,74.0,91.09999847,5.437002983,10,100.0
2024-12-30 15:26:40,6100132,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,3.026263341,,,0.004717878,0,,70.45370987,64.09999847,77.20000458,4.444082219,8,100.0,567.2905937,527.2078857,602.3268433,15.96624139,15,100.0,41.67881908,38.43258667,46.07170868,2.464315047,10,100.0,38.53588838,35.40000153,42.79999924,2.385161449,10,100.0
2024-12-30 14:46:40,6100554,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,2.951702457,,,0.003890004,0,,7.47829322,7.200000286,7.900000095,1.183171091,2,100.0,492.2781807,452.7684631,551.0724487,25.82281934,15,100.0,1.480284122,0.0,4.171984196,1.613335061,10,100.0,1.201769776,0.0,3.400000095,1.310904851,10,100.0
2024-12-30 18:03:20,6100557,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,2.911276347,,,0.003890004,0,,0.0,,,0.0,0,,194.2283989,136.8615875,256.0764465,38.05355972,10,100.0,0.0,0.0,0.0,0.0,10,100.0,0.0,0.0,0.0,0.0,10,100.0
2024-12-30 18:03:20,6100977,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,2.864902376,,,0.003541891,0,,0.0,,,0.0,0,,1.344637871,0.608873367,1.659965515,0.462161923,10,100.0,0.0,0.0,0.0,0.0,10,100.0,0.0,0.0,0.0,0.0,10,100.0
2024-12-30 18:13:20,6101392,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,2.853423746,,,0.003534176,0,,0.0,,,0.0,0,,0.608873367,0.608873367,0.608873367,0.0,10,100.0,0.0,0.0,0.0,0.0,10,100.0,0.0,0.0,0.0,0.0,10,100.0
2024-12-30 17:43:20,6101395,NARB_ECP001_S3_SHL001Inverter01,,,0.0,0.0,0,,2.816695508,,,0.003534176,0,,0.0,,,0.0,0,,0.904464722,0.904464722,0.904464722,0.0,10,100.0,0.0,0.0,0.0,0.0,10,100.0,0.0,0.0,0.0,0.0,10,100.0
