Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,34.4
2024-06-26T15:40:00,20240626154000,32.4
2024-06-26T15:50:00,20240626155000,29.5
2024-06-26T16:00:00,20240626160000,27.8
2024-06-26T16:10:00,20240626161000,25.4
2024-06-26T16:20:00,20240626162000,23.5
2024-06-26T16:30:00,20240626163000,21.0
2024-06-26T16:40:00,20240626164000,17.2
2024-06-26T16:50:00,20240626165000,15.8
2024-06-26T17:00:00,20240626170000,14.0
2024-06-26T17:10:00,20240626171000,12.5
2024-06-26T17:20:00,20240626172000,10.8
2024-06-26T17:30:00,20240626173000,9.29
2024-06-26T17:40:00,20240626174000,7.28
2024-06-26T17:50:00,20240626175000,5.81
2024-06-26T18:00:00,20240626180000,4.79
2024-06-26T18:10:00,20240626181000,3.77
2024-06-26T18:20:00,20240626182000,2.76
2024-06-26T18:30:00,20240626183000,1.85
2024-06-26T18:40:00,20240626184000,1.34
2024-06-26T18:50:00,20240626185000,0.685
2024-06-26T19:00:00,20240626190000,0.597
2024-06-26T19:10:00,20240626191000,0.569
2024-06-26T19:20:00,20240626192000,0.543
2024-06-26T19:30:00,20240626193000,0.517
2024-06-26T19:40:00,20240626194000,0.491
2024-06-26T19:50:00,20240626195000,0.466
2024-06-26T20:00:00,20240626200000,0.44
2024-06-26T20:10:00,20240626201000,0.414
2024-06-26T20:20:00,20240626202000,0.388
2024-06-26T20:30:00,20240626203000,0.363
2024-06-26T20:40:00,20240626204000,0.337
2024-06-26T20:50:00,20240626205000,0.311
2024-06-26T21:00:00,20240626210000,0.285
2024-06-26T21:10:00,20240626211000,0.26
2024-06-26T21:20:00,20240626212000,0.234
2024-06-26T21:30:00,20240626213000,0.208
2024-06-26T21:40:00,20240626214000,0.182
2024-06-26T21:50:00,20240626215000,0.157
2024-06-26T22:00:00,20240626220000,0.131
2024-06-26T22:10:00,20240626221000,0.105
2024-06-26T22:20:00,20240626222000,0.0793
2024-06-26T22:30:00,20240626223000,0.0535
2024-06-26T22:40:00,20240626224000,0.0278
2024-06-26T22:50:00,20240626225000,0.002
2024-06-26T23:00:00,20240626230000,-0.0282
2024-06-26T23:10:00,20240626231000,-0.0637
2024-06-26T23:20:00,20240626232000,-0.0993
2024-06-26T23:30:00,20240626233000,-0.114
2024-06-26T23:40:00,20240626234000,-0.104
2024-06-26T23:50:00,20240626235000,-0.0935
2024-06-27T00:00:00,20240627000000,-0.0832
2024-06-27T00:10:00,20240627001000,-0.0729
2024-06-27T00:20:00,20240627002000,-0.0625
2024-06-27T00:30:00,20240627003000,-0.0522
2024-06-27T00:40:00,20240627004000,-0.0419
2024-06-27T00:50:00,20240627005000,-0.0316
2024-06-27T01:00:00,20240627010000,-0.0212
2024-06-27T01:10:00,20240627011000,0.123
2024-06-27T01:20:00,20240627012000,0.146
2024-06-27T01:30:00,20240627013000,0.169
2024-06-27T01:40:00,20240627014000,0.193
2024-06-27T01:50:00,20240627015000,0.216
2024-06-27T02:00:00,20240627020000,0.239
2024-06-27T02:10:00,20240627021000,0.262
2024-06-27T02:20:00,20240627022000,0.285
2024-06-27T02:30:00,20240627023000,0.308
2024-06-27T02:40:00,20240627024000,0.332
2024-06-27T02:50:00,20240627025000,0.355
2024-06-27T03:00:00,20240627030000,0.378
2024-06-27T03:10:00,20240627031000,0.401
2024-06-27T03:20:00,20240627032000,0.424
2024-06-27T03:30:00,20240627033000,0.447
2024-06-27T03:40:00,20240627034000,0.47
2024-06-27T03:50:00,20240627035000,0.494
2024-06-27T04:00:00,20240627040000,0.517
2024-06-27T04:10:00,20240627041000,0.54
2024-06-27T04:20:00,20240627042000,0.563
2024-06-27T04:30:00,20240627043000,0.586
2024-06-27T04:40:00,20240627044000,0.609
2024-06-27T04:50:00,20240627045000,0.658
2024-06-27T05:00:00,20240627050000,1.11
2024-06-27T05:10:00,20240627051000,1.29
2024-06-27T05:20:00,20240627052000,2.28
2024-06-27T05:30:00,20240627053000,3.39
2024-06-27T05:40:00,20240627054000,4.49
2024-06-27T05:50:00,20240627055000,5.59
2024-06-27T06:00:00,20240627060000,6.7
2024-06-27T06:10:00,20240627061000,7.8
2024-06-27T06:20:00,20240627062000,8.9
2024-06-27T06:30:00,20240627063000,10.2
2024-06-27T06:40:00,20240627064000,12.2
2024-06-27T06:50:00,20240627065000,14.2
2024-06-27T07:00:00,20240627070000,16.3
2024-06-27T07:10:00,20240627071000,18.3
2024-06-27T07:20:00,20240627072000,20.0
2024-06-27T07:30:00,20240627073000,21.8
2024-06-27T07:40:00,20240627074000,24.7
2024-06-27T07:50:00,20240627075000,26.5
2024-06-27T08:00:00,20240627080000,29.0
2024-06-27T08:10:00,20240627081000,30.7
2024-06-27T08:20:00,20240627082000,33.1
2024-06-27T08:30:00,20240627083000,35.3
2024-06-27T08:40:00,20240627084000,37.3
2024-06-27T08:50:00,20240627085000,38.5
2024-06-27T09:00:00,20240627090000,38.9
2024-06-27T09:10:00,20240627091000,41.5
2024-06-27T09:20:00,20240627092000,42.0
2024-06-27T09:30:00,20240627093000,44.3
2024-06-27T09:40:00,20240627094000,45.0
2024-06-27T09:50:00,20240627095000,47.1
2024-06-27T10:00:00,20240627100000,48.5
2024-06-27T10:10:00,20240627101000,49.8
2024-06-27T10:20:00,20240627102000,50.9
2024-06-27T10:30:00,20240627103000,51.6
2024-06-27T10:40:00,20240627104000,52.8
2024-06-27T10:50:00,20240627105000,52.4
2024-06-27T11:00:00,20240627110000,53.1
2024-06-27T11:10:00,20240627111000,54.1
2024-06-27T11:20:00,20240627112000,55.6
2024-06-27T11:30:00,20240627113000,54.2
2024-06-27T11:40:00,20240627114000,55.6
2024-06-27T11:50:00,20240627115000,54.7
2024-06-27T12:00:00,20240627120000,55.4
2024-06-27T12:10:00,20240627121000,54.9
2024-06-27T12:20:00,20240627122000,54.9
2024-06-27T12:30:00,20240627123000,53.9
2024-06-27T12:40:00,20240627124000,54.2
2024-06-27T12:50:00,20240627125000,53.5
2024-06-27T13:00:00,20240627130000,53.1
2024-06-27T13:10:00,20240627131000,53.3
2024-06-27T13:20:00,20240627132000,52.0
2024-06-27T13:30:00,20240627133000,51.4
2024-06-27T13:40:00,20240627134000,49.3
2024-06-27T13:50:00,20240627135000,48.0
2024-06-27T14:00:00,20240627140000,44.6
2024-06-27T14:10:00,20240627141000,43.7
2024-06-27T14:20:00,20240627142000,43.0
2024-06-27T14:30:00,20240627143000,43.2
2024-06-27T14:40:00,20240627144000,39.8
2024-06-27T14:50:00,20240627145000,37.3
2024-06-27T15:00:00,20240627150000,37.8
2024-06-27T15:10:00,20240627151000,34.5
2024-06-27T15:20:00,20240627152000,32.7
2024-06-27T15:30:00,20240627153000,30.2
2024-06-27T15:40:00,20240627154000,28.3
2024-06-27T15:50:00,20240627155000,26.8
2024-06-27T16:00:00,20240627160000,24.7
2024-06-27T16:10:00,20240627161000,23.6
2024-06-27T16:20:00,20240627162000,18.2
2024-06-27T16:30:00,20240627163000,13.4
2024-06-27T16:40:00,20240627164000,13.1
2024-06-27T16:50:00,20240627165000,15.2
2024-06-27T17:00:00,20240627170000,17.4
2024-06-27T17:10:00,20240627171000,15.6
2024-06-27T17:20:00,20240627172000,11.5
2024-06-27T17:30:00,20240627173000,7.57
2024-06-27T17:40:00,20240627174000,5.29
2024-06-27T17:50:00,20240627175000,4.72
2024-06-27T18:00:00,20240627180000,4.84
2024-06-27T18:10:00,20240627181000,4.87
2024-06-27T18:20:00,20240627182000,3.98
2024-06-27T18:30:00,20240627183000,2.86
2024-06-27T18:40:00,20240627184000,1.66
2024-06-27T18:50:00,20240627185000,1.13
2024-06-27T19:00:00,20240627190000,0.768
2024-06-27T19:10:00,20240627191000,0.407
2024-06-27T19:20:00,20240627192000,0.324
2024-06-27T19:30:00,20240627193000,0.142
2024-06-27T19:40:00,20240627194000,-0.2
2024-06-27T19:50:00,20240627195000,-0.194
2024-06-27T20:00:00,20240627200000,-0.187
2024-06-27T20:10:00,20240627201000,-0.181
2024-06-27T20:20:00,20240627202000,-0.174
2024-06-27T20:30:00,20240627203000,-0.168
2024-06-27T20:40:00,20240627204000,-0.161
2024-06-27T20:50:00,20240627205000,-0.155
2024-06-27T21:00:00,20240627210000,-0.149
2024-06-27T21:10:00,20240627211000,-0.142
2024-06-27T21:20:00,20240627212000,-0.136
2024-06-27T21:30:00,20240627213000,-0.129
2024-06-27T21:40:00,20240627214000,-0.123
2024-06-27T21:50:00,20240627215000,-0.117
2024-06-27T22:00:00,20240627220000,-0.11
2024-06-27T22:10:00,20240627221000,-0.104
2024-06-27T22:20:00,20240627222000,-0.0974
2024-06-27T22:30:00,20240627223000,-0.091
2024-06-27T22:40:00,20240627224000,-0.0845
2024-06-27T22:50:00,20240627225000,-0.0781
2024-06-27T23:00:00,20240627230000,-0.0717
2024-06-27T23:10:00,20240627231000,-0.0653
2024-06-27T23:20:00,20240627232000,-0.0589
2024-06-27T23:30:00,20240627233000,-0.0399
2024-06-27T23:40:00,20240627234000,0.0306
2024-06-27T23:50:00,20240627235000,0.107
2024-06-28T00:00:00,20240628000000,0.168
2024-06-28T00:10:00,20240628001000,0.169
2024-06-28T00:20:00,20240628002000,0.163
2024-06-28T00:30:00,20240628003000,0.157
2024-06-28T00:40:00,20240628004000,0.152
2024-06-28T00:50:00,20240628005000,0.146
2024-06-28T01:00:00,20240628010000,0.14
2024-06-28T01:10:00,20240628011000,0.207
2024-06-28T01:20:00,20240628012000,0.212
2024-06-28T01:30:00,20240628013000,0.216
2024-06-28T01:40:00,20240628014000,0.221
2024-06-28T01:50:00,20240628015000,0.225
2024-06-28T02:00:00,20240628020000,0.23
2024-06-28T02:10:00,20240628021000,0.234
2024-06-28T02:20:00,20240628022000,0.239
2024-06-28T02:30:00,20240628023000,0.243
2024-06-28T02:40:00,20240628024000,0.248
2024-06-28T02:50:00,20240628025000,0.253
2024-06-28T03:00:00,20240628030000,0.257
2024-06-28T03:10:00,20240628031000,0.262
2024-06-28T03:20:00,20240628032000,0.266
2024-06-28T03:30:00,20240628033000,0.271
2024-06-28T03:40:00,20240628034000,0.275
2024-06-28T03:50:00,20240628035000,0.28
2024-06-28T04:00:00,20240628040000,0.284
2024-06-28T04:10:00,20240628041000,0.289
2024-06-28T04:20:00,20240628042000,0.293
2024-06-28T04:30:00,20240628043000,0.298
2024-06-28T04:40:00,20240628044000,0.302
2024-06-28T04:50:00,20240628045000,0.481
2024-06-28T05:00:00,20240628050000,1.17
2024-06-28T05:10:00,20240628051000,1.88
2024-06-28T05:20:00,20240628052000,2.14
2024-06-28T05:30:00,20240628053000,1.99
2024-06-28T05:40:00,20240628054000,3.91
2024-06-28T05:50:00,20240628055000,5.5
2024-06-28T06:00:00,20240628060000,6.89
2024-06-28T06:10:00,20240628061000,7.59
2024-06-28T06:20:00,20240628062000,8.53
2024-06-28T06:30:00,20240628063000,10.4
2024-06-28T06:40:00,20240628064000,12.0
2024-06-28T06:50:00,20240628065000,13.6
2024-06-28T07:00:00,20240628070000,15.2
2024-06-28T07:10:00,20240628071000,17.9
2024-06-28T07:20:00,20240628072000,19.5
2024-06-28T07:30:00,20240628073000,21.1
2024-06-28T07:40:00,20240628074000,23.5
2024-06-28T07:50:00,20240628075000,26.5
2024-06-28T08:00:00,20240628080000,28.0
2024-06-28T08:10:00,20240628081000,29.4
2024-06-28T08:20:00,20240628082000,31.6
2024-06-28T08:30:00,20240628083000,33.9
2024-06-28T08:40:00,20240628084000,35.8
2024-06-28T08:50:00,20240628085000,37.1
2024-06-28T09:00:00,20240628090000,39.7
2024-06-28T09:10:00,20240628091000,41.7
2024-06-28T09:20:00,20240628092000,43.6
2024-06-28T09:30:00,20240628093000,44.6
2024-06-28T09:40:00,20240628094000,45.8
2024-06-28T09:50:00,20240628095000,47.5
2024-06-28T10:00:00,20240628100000,49.1
2024-06-28T10:10:00,20240628101000,49.9
2024-06-28T10:20:00,20240628102000,50.9
2024-06-28T10:30:00,20240628103000,51.9
2024-06-28T10:40:00,20240628104000,52.8
2024-06-28T10:50:00,20240628105000,52.7
2024-06-28T11:00:00,20240628110000,53.9
2024-06-28T11:10:00,20240628111000,53.8
2024-06-28T11:20:00,20240628112000,54.5
2024-06-28T11:30:00,20240628113000,54.0
2024-06-28T11:40:00,20240628114000,54.4
2024-06-28T11:50:00,20240628115000,54.8
2024-06-28T12:00:00,20240628120000,54.5
2024-06-28T12:10:00,20240628121000,55.1
