Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-26T15:30:00,20240626153000,654.0
2024-06-26T15:40:00,20240626154000,620.0
2024-06-26T15:50:00,20240626155000,586.0
2024-06-26T16:00:00,20240626160000,555.0
2024-06-26T16:10:00,20240626161000,509.0
2024-06-26T16:20:00,20240626162000,473.0
2024-06-26T16:30:00,20240626163000,432.0
2024-06-26T16:40:00,20240626164000,379.0
2024-06-26T16:50:00,20240626165000,360.0
2024-06-26T17:00:00,20240626170000,326.0
2024-06-26T17:10:00,20240626171000,293.0
2024-06-26T17:20:00,20240626172000,264.0
2024-06-26T17:30:00,20240626173000,230.0
2024-06-26T17:40:00,20240626174000,192.0
2024-06-26T17:50:00,20240626175000,165.0
2024-06-26T18:00:00,20240626180000,132.0
2024-06-26T18:10:00,20240626181000,108.0
2024-06-26T18:20:00,20240626182000,81.3
2024-06-26T18:30:00,20240626183000,56.3
2024-06-26T18:40:00,20240626184000,42.9
2024-06-26T18:50:00,20240626185000,32.9
2024-06-26T19:00:00,20240626190000,20.2
2024-06-26T19:10:00,20240626191000,12.9
2024-06-26T19:20:00,20240626192000,7.24
2024-06-26T19:30:00,20240626193000,1.95
2024-06-26T19:40:00,20240626194000,-1.22
2024-06-26T19:50:00,20240626195000,-1.44
2024-06-26T20:00:00,20240626200000,-1.41
2024-06-26T20:10:00,20240626201000,-1.39
2024-06-26T20:20:00,20240626202000,-1.43
2024-06-26T20:30:00,20240626203000,-1.4
2024-06-26T20:40:00,20240626204000,-1.38
2024-06-26T20:50:00,20240626205000,-1.35
2024-06-26T21:00:00,20240626210000,-1.37
2024-06-26T21:10:00,20240626211000,-1.36
2024-06-26T21:20:00,20240626212000,-1.35
2024-06-26T21:30:00,20240626213000,-1.33
2024-06-26T21:40:00,20240626214000,-1.34
2024-06-26T21:50:00,20240626215000,-1.32
2024-06-26T22:00:00,20240626220000,-1.29
2024-06-26T22:10:00,20240626221000,-1.31
2024-06-26T22:20:00,20240626222000,-1.27
2024-06-26T22:30:00,20240626223000,-1.31
2024-06-26T22:40:00,20240626224000,-1.32
2024-06-26T22:50:00,20240626225000,-1.3
2024-06-26T23:00:00,20240626230000,-1.21
2024-06-26T23:10:00,20240626231000,-1.32
2024-06-26T23:20:00,20240626232000,-1.3
2024-06-26T23:30:00,20240626233000,-1.32
2024-06-26T23:40:00,20240626234000,-1.3
2024-06-26T23:50:00,20240626235000,-1.34
2024-06-27T00:00:00,20240627000000,-1.33
