Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-26T15:30:00,20240626153000,644.0
2024-06-26T15:40:00,20240626154000,606.0
2024-06-26T15:50:00,20240626155000,574.0
2024-06-26T16:00:00,20240626160000,543.0
2024-06-26T16:10:00,20240626161000,496.0
2024-06-26T16:20:00,20240626162000,466.0
2024-06-26T16:30:00,20240626163000,421.0
2024-06-26T16:40:00,20240626164000,376.0
2024-06-26T16:50:00,20240626165000,349.0
2024-06-26T17:00:00,20240626170000,319.0
2024-06-26T17:10:00,20240626171000,288.0
2024-06-26T17:20:00,20240626172000,255.0
2024-06-26T17:30:00,20240626173000,221.0
2024-06-26T17:40:00,20240626174000,186.0
2024-06-26T17:50:00,20240626175000,152.0
2024-06-26T18:00:00,20240626180000,124.0
2024-06-26T18:10:00,20240626181000,96.7
2024-06-26T18:20:00,20240626182000,70.2
2024-06-26T18:30:00,20240626183000,48.9
2024-06-26T18:40:00,20240626184000,37.9
2024-06-26T18:50:00,20240626185000,29.3
2024-06-26T19:00:00,20240626190000,21.1
2024-06-26T19:10:00,20240626191000,12.1
2024-06-26T19:20:00,20240626192000,6.52
2024-06-26T19:30:00,20240626193000,2.25
2024-06-26T19:40:00,20240626194000,0.597
2024-06-26T19:50:00,20240626195000,0.589
2024-06-26T20:00:00,20240626200000,0.557
2024-06-26T20:10:00,20240626201000,0.526
2024-06-26T20:20:00,20240626202000,0.61
2024-06-26T20:30:00,20240626203000,0.566
2024-06-26T20:40:00,20240626204000,0.476
2024-06-26T20:50:00,20240626205000,0.494
2024-06-26T21:00:00,20240626210000,0.503
2024-06-26T21:10:00,20240626211000,0.551
2024-06-26T21:20:00,20240626212000,0.473
2024-06-26T21:30:00,20240626213000,0.505
2024-06-26T21:40:00,20240626214000,0.527
2024-06-26T21:50:00,20240626215000,0.491
2024-06-26T22:00:00,20240626220000,0.552
2024-06-26T22:10:00,20240626221000,0.493
2024-06-26T22:20:00,20240626222000,0.59
2024-06-26T22:30:00,20240626223000,0.723
2024-06-26T22:40:00,20240626224000,0.555
2024-06-26T22:50:00,20240626225000,0.431
2024-06-26T23:00:00,20240626230000,0.623
2024-06-26T23:10:00,20240626231000,0.434
2024-06-26T23:20:00,20240626232000,0.429
2024-06-26T23:30:00,20240626233000,0.592
2024-06-26T23:40:00,20240626234000,0.478
2024-06-26T23:50:00,20240626235000,0.474
2024-06-27T00:00:00,20240627000000,0.486
2024-06-27T00:10:00,20240627001000,0.538
2024-06-27T00:20:00,20240627002000,0.586
2024-06-27T00:30:00,20240627003000,0.545
2024-06-27T00:40:00,20240627004000,0.469
2024-06-27T00:50:00,20240627005000,0.493
2024-06-27T01:00:00,20240627010000,0.46
2024-06-27T01:10:00,20240627011000,0.395
2024-06-27T01:20:00,20240627012000,0.346
2024-06-27T01:30:00,20240627013000,0.565
2024-06-27T01:40:00,20240627014000,0.369
2024-06-27T01:50:00,20240627015000,0.511
2024-06-27T02:00:00,20240627020000,0.55
2024-06-27T02:10:00,20240627021000,0.606
2024-06-27T02:20:00,20240627022000,0.464
2024-06-27T02:30:00,20240627023000,0.572
2024-06-27T02:40:00,20240627024000,0.399
2024-06-27T02:50:00,20240627025000,0.343
2024-06-27T03:00:00,20240627030000,0.48
2024-06-27T03:10:00,20240627031000,0.53
2024-06-27T03:20:00,20240627032000,0.443
2024-06-27T03:30:00,20240627033000,0.458
2024-06-27T03:40:00,20240627034000,0.588
2024-06-27T03:50:00,20240627035000,0.628
2024-06-27T04:00:00,20240627040000,0.42
2024-06-27T04:10:00,20240627041000,1.01
2024-06-27T04:20:00,20240627042000,4.6
2024-06-27T04:30:00,20240627043000,8.89
2024-06-27T04:40:00,20240627044000,14.0
2024-06-27T04:50:00,20240627045000,24.3
2024-06-27T05:00:00,20240627050000,35.2
2024-06-27T05:10:00,20240627051000,46.8
2024-06-27T05:20:00,20240627052000,56.0
2024-06-27T05:30:00,20240627053000,63.9
2024-06-27T05:40:00,20240627054000,79.4
2024-06-27T05:50:00,20240627055000,100.0
2024-06-27T06:00:00,20240627060000,125.0
2024-06-27T06:10:00,20240627061000,151.0
2024-06-27T06:20:00,20240627062000,178.0
2024-06-27T06:30:00,20240627063000,202.0
2024-06-27T06:40:00,20240627064000,235.0
2024-06-27T06:50:00,20240627065000,269.0
2024-06-27T07:00:00,20240627070000,302.0
2024-06-27T07:10:00,20240627071000,340.0
2024-06-27T07:20:00,20240627072000,376.0
2024-06-27T07:30:00,20240627073000,414.0
2024-06-27T07:40:00,20240627074000,453.0
2024-06-27T07:50:00,20240627075000,493.0
2024-06-27T08:00:00,20240627080000,533.0
2024-06-27T08:10:00,20240627081000,565.0
2024-06-27T08:20:00,20240627082000,599.0
2024-06-27T08:30:00,20240627083000,629.0
2024-06-27T08:40:00,20240627084000,661.0
2024-06-27T08:50:00,20240627085000,686.0
2024-06-27T09:00:00,20240627090000,706.0
2024-06-27T09:10:00,20240627091000,740.0
2024-06-27T09:20:00,20240627092000,761.0
2024-06-27T09:30:00,20240627093000,779.0
2024-06-27T09:40:00,20240627094000,805.0
2024-06-27T09:50:00,20240627095000,827.0
2024-06-27T10:00:00,20240627100000,843.0
2024-06-27T10:10:00,20240627101000,867.0
2024-06-27T10:20:00,20240627102000,880.0
2024-06-27T10:30:00,20240627103000,899.0
2024-06-27T10:40:00,20240627104000,909.0
2024-06-27T10:50:00,20240627105000,917.0
2024-06-27T11:00:00,20240627110000,925.0
2024-06-27T11:10:00,20240627111000,942.0
2024-06-27T11:20:00,20240627112000,948.0
2024-06-27T11:30:00,20240627113000,955.0
2024-06-27T11:40:00,20240627114000,958.0
2024-06-27T11:50:00,20240627115000,962.0
2024-06-27T12:00:00,20240627120000,964.0
2024-06-27T12:10:00,20240627121000,962.0
2024-06-27T12:20:00,20240627122000,960.0
2024-06-27T12:30:00,20240627123000,955.0
