Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,27.8
2024-06-26T15:40:00,20240626154000,25.9
2024-06-26T15:50:00,20240626155000,24.0
2024-06-26T16:00:00,20240626160000,22.1
2024-06-26T16:10:00,20240626161000,20.2
2024-06-26T16:20:00,20240626162000,18.3
2024-06-26T16:30:00,20240626163000,16.5
2024-06-26T16:40:00,20240626164000,14.6
2024-06-26T16:50:00,20240626165000,13.1
2024-06-26T17:00:00,20240626170000,11.7
2024-06-26T17:10:00,20240626171000,10.3
2024-06-26T17:20:00,20240626172000,8.9
2024-06-26T17:30:00,20240626173000,7.48
2024-06-26T17:40:00,20240626174000,6.06
2024-06-26T17:50:00,20240626175000,4.64
2024-06-26T18:00:00,20240626180000,3.22
2024-06-26T18:10:00,20240626181000,2.37
2024-06-26T18:20:00,20240626182000,1.91
2024-06-26T18:30:00,20240626183000,1.46
2024-06-26T18:40:00,20240626184000,1.0
2024-06-26T18:50:00,20240626185000,0.0442
2024-06-26T19:00:00,20240626190000,-0.346
2024-06-26T19:10:00,20240626191000,-0.348
2024-06-26T19:20:00,20240626192000,-0.347
2024-06-26T19:30:00,20240626193000,-0.347
2024-06-26T19:40:00,20240626194000,-0.346
2024-06-26T19:50:00,20240626195000,-0.346
2024-06-26T20:00:00,20240626200000,-0.346
2024-06-26T20:10:00,20240626201000,-0.345
2024-06-26T20:20:00,20240626202000,-0.345
2024-06-26T20:30:00,20240626203000,-0.344
2024-06-26T20:40:00,20240626204000,-0.344
2024-06-26T20:50:00,20240626205000,-0.343
2024-06-26T21:00:00,20240626210000,-0.343
2024-06-26T21:10:00,20240626211000,-0.343
2024-06-26T21:20:00,20240626212000,-0.342
2024-06-26T21:30:00,20240626213000,-0.342
2024-06-26T21:40:00,20240626214000,-0.341
2024-06-26T21:50:00,20240626215000,-0.341
2024-06-26T22:00:00,20240626220000,-0.341
2024-06-26T22:10:00,20240626221000,-0.34
2024-06-26T22:20:00,20240626222000,-0.34
2024-06-26T22:30:00,20240626223000,-0.339
2024-06-26T22:40:00,20240626224000,-0.339
2024-06-26T22:50:00,20240626225000,-0.338
2024-06-26T23:00:00,20240626230000,-0.312
2024-06-26T23:10:00,20240626231000,-0.272
2024-06-26T23:20:00,20240626232000,-0.233
2024-06-26T23:30:00,20240626233000,-0.225
2024-06-26T23:40:00,20240626234000,-0.236
2024-06-26T23:50:00,20240626235000,-0.248
2024-06-27T00:00:00,20240627000000,-0.259
2024-06-27T00:10:00,20240627001000,-0.27
2024-06-27T00:20:00,20240627002000,-0.281
2024-06-27T00:30:00,20240627003000,-0.292
2024-06-27T00:40:00,20240627004000,-0.303
2024-06-27T00:50:00,20240627005000,-0.314
2024-06-27T01:00:00,20240627010000,-0.325
2024-06-27T01:10:00,20240627011000,0.0177
2024-06-27T01:20:00,20240627012000,0.0399
2024-06-27T01:30:00,20240627013000,0.062
2024-06-27T01:40:00,20240627014000,0.0841
2024-06-27T01:50:00,20240627015000,0.106
2024-06-27T02:00:00,20240627020000,0.128
2024-06-27T02:10:00,20240627021000,0.151
2024-06-27T02:20:00,20240627022000,0.173
2024-06-27T02:30:00,20240627023000,0.195
2024-06-27T02:40:00,20240627024000,0.217
2024-06-27T02:50:00,20240627025000,0.239
