Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,36.2,3.26,281.0,580.0,181602.0,174318.0
2024-06-26T15:40:00,20240626154000,36.2,3.25,263.0,584.0,172390.0,165304.0
2024-06-26T15:50:00,20240626155000,36.1,3.23,244.0,589.0,162488.0,155629.0
2024-06-26T16:00:00,20240626160000,36.1,3.22,228.0,589.0,153039.0,146418.0
2024-06-26T16:10:00,20240626161000,36.0,3.2,208.0,587.0,140770.0,134487.0
2024-06-26T16:20:00,20240626162000,36.0,3.19,191.0,590.0,131918.0,125902.0
2024-06-26T16:30:00,20240626163000,35.9,3.18,169.0,591.0,118480.0,112901.0
2024-06-26T16:40:00,20240626164000,35.5,3.16,153.0,572.0,105369.0,100255.0
2024-06-26T16:50:00,20240626165000,35.2,3.15,134.0,588.0,97242.0,92435.0
2024-06-26T17:00:00,20240626170000,34.8,3.13,116.0,595.0,88359.0,83688.0
2024-06-26T17:10:00,20240626171000,34.5,3.12,101.0,589.0,78991.0,74250.0
2024-06-26T17:20:00,20240626172000,34.1,3.11,86.4,585.0,69719.0,65043.0
2024-06-26T17:30:00,20240626173000,33.8,3.09,69.5,594.0,60640.0,56166.0
2024-06-26T17:40:00,20240626174000,33.4,3.08,54.1,587.0,50907.0,46788.0
2024-06-26T17:50:00,20240626175000,33.1,3.06,39.4,591.0,42247.0,38563.0
2024-06-26T18:00:00,20240626180000,32.7,3.05,29.2,580.0,35604.0,32079.0
2024-06-26T18:10:00,20240626181000,32.4,3.03,21.0,573.0,30477.0,26970.0
2024-06-26T18:20:00,20240626182000,32.0,3.02,13.9,565.0,25840.0,22503.0
2024-06-26T18:30:00,20240626183000,31.7,3.01,7.66,556.0,21674.0,18608.0
2024-06-26T18:40:00,20240626184000,31.1,2.99,2.08,604.0,7238.0,6140.0
2024-06-26T18:50:00,20240626185000,30.5,2.96,0.408,630.0,2523.0,2125.0
2024-06-26T19:00:00,20240626190000,30.1,2.94,0.0,576.0,2485.0,2069.0
2024-06-26T19:10:00,20240626191000,29.8,2.93,0.0,536.0,0.0,0.0
2024-06-26T19:20:00,20240626192000,29.5,2.92,0.0,432.0,0.0,0.0
2024-06-26T19:30:00,20240626193000,29.2,2.92,0.0,291.0,0.0,0.0
2024-06-26T19:40:00,20240626194000,28.9,2.92,0.0,151.0,0.0,0.0
2024-06-26T19:50:00,20240626195000,28.7,2.92,0.0,56.1,0.0,0.0
2024-06-26T20:00:00,20240626200000,28.5,2.91,0.0,15.9,0.0,0.0
2024-06-26T20:10:00,20240626201000,28.4,2.91,0.0,5.58,0.0,0.0
2024-06-26T20:20:00,20240626202000,28.2,2.91,0.0,4.68,0.0,0.0
2024-06-26T20:30:00,20240626203000,28.0,2.91,0.0,2.5,0.0,0.0
2024-06-26T20:40:00,20240626204000,28.0,2.9,0.0,2.12,0.0,0.0
2024-06-26T20:50:00,20240626205000,27.9,2.9,0.0,2.12,0.0,0.0
2024-06-26T21:00:00,20240626210000,27.9,2.9,0.0,2.54,0.0,0.0
2024-06-26T21:10:00,20240626211000,27.8,2.9,0.0,2.61,0.0,0.0
2024-06-26T21:20:00,20240626212000,27.7,2.89,0.0,2.61,0.0,0.0
2024-06-26T21:30:00,20240626213000,27.7,2.89,0.0,2.36,0.0,0.0
2024-06-26T21:40:00,20240626214000,27.6,2.89,0.0,2.32,0.0,0.0
2024-06-26T21:50:00,20240626215000,27.4,2.89,0.0,2.32,0.0,0.0
