Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,27.3
2024-06-26T15:40:00,20240626154000,25.8
2024-06-26T15:50:00,20240626155000,23.9
2024-06-26T16:00:00,20240626160000,21.9
2024-06-26T16:10:00,20240626161000,20.1
2024-06-26T16:20:00,20240626162000,18.2
2024-06-26T16:30:00,20240626163000,16.2
2024-06-26T16:40:00,20240626164000,14.6
2024-06-26T16:50:00,20240626165000,13.1
2024-06-26T17:00:00,20240626170000,11.6
2024-06-26T17:10:00,20240626171000,10.1
2024-06-26T17:20:00,20240626172000,8.56
2024-06-26T17:30:00,20240626173000,7.06
2024-06-26T17:40:00,20240626174000,5.55
2024-06-26T17:50:00,20240626175000,4.06
2024-06-26T18:00:00,20240626180000,3.18
2024-06-26T18:10:00,20240626181000,2.66
2024-06-26T18:20:00,20240626182000,2.13
2024-06-26T18:30:00,20240626183000,1.6
2024-06-26T18:40:00,20240626184000,1.08
2024-06-26T18:50:00,20240626185000,0.331
2024-06-26T19:00:00,20240626190000,0.187
2024-06-26T19:10:00,20240626191000,0.19
2024-06-26T19:20:00,20240626192000,0.193
2024-06-26T19:30:00,20240626193000,0.195
2024-06-26T19:40:00,20240626194000,0.198
2024-06-26T19:50:00,20240626195000,0.201
2024-06-26T20:00:00,20240626200000,0.203
2024-06-26T20:10:00,20240626201000,0.206
2024-06-26T20:20:00,20240626202000,0.209
2024-06-26T20:30:00,20240626203000,0.212
2024-06-26T20:40:00,20240626204000,0.214
2024-06-26T20:50:00,20240626205000,0.217
2024-06-26T21:00:00,20240626210000,0.22
2024-06-26T21:10:00,20240626211000,0.222
2024-06-26T21:20:00,20240626212000,0.225
2024-06-26T21:30:00,20240626213000,0.228
2024-06-26T21:40:00,20240626214000,0.231
2024-06-26T21:50:00,20240626215000,0.233
2024-06-26T22:00:00,20240626220000,0.236
2024-06-26T22:10:00,20240626221000,0.239
2024-06-26T22:20:00,20240626222000,0.242
2024-06-26T22:30:00,20240626223000,0.244
2024-06-26T22:40:00,20240626224000,0.247
2024-06-26T22:50:00,20240626225000,0.245
2024-06-26T23:00:00,20240626230000,0.211
2024-06-26T23:10:00,20240626231000,0.17
2024-06-26T23:20:00,20240626232000,0.133
2024-06-26T23:30:00,20240626233000,0.128
2024-06-26T23:40:00,20240626234000,0.13
2024-06-26T23:50:00,20240626235000,0.132
2024-06-27T00:00:00,20240627000000,0.133
2024-06-27T00:10:00,20240627001000,0.135
2024-06-27T00:20:00,20240627002000,0.136
2024-06-27T00:30:00,20240627003000,0.138
2024-06-27T00:40:00,20240627004000,0.14
2024-06-27T00:50:00,20240627005000,0.141
2024-06-27T01:00:00,20240627010000,0.143
2024-06-27T01:10:00,20240627011000,0.382
2024-06-27T01:20:00,20240627012000,0.406
2024-06-27T01:30:00,20240627013000,0.429
2024-06-27T01:40:00,20240627014000,0.452
2024-06-27T01:50:00,20240627015000,0.476
2024-06-27T02:00:00,20240627020000,0.499
2024-06-27T02:10:00,20240627021000,0.522
2024-06-27T02:20:00,20240627022000,0.546
2024-06-27T02:30:00,20240627023000,0.569
2024-06-27T02:40:00,20240627024000,0.592
2024-06-27T02:50:00,20240627025000,0.616
2024-06-27T03:00:00,20240627030000,0.639
2024-06-27T03:10:00,20240627031000,0.662
2024-06-27T03:20:00,20240627032000,0.686
2024-06-27T03:30:00,20240627033000,0.709
2024-06-27T03:40:00,20240627034000,0.732
2024-06-27T03:50:00,20240627035000,0.756
2024-06-27T04:00:00,20240627040000,0.779
2024-06-27T04:10:00,20240627041000,0.802
2024-06-27T04:20:00,20240627042000,0.826
2024-06-27T04:30:00,20240627043000,0.849
2024-06-27T04:40:00,20240627044000,0.872
2024-06-27T04:50:00,20240627045000,0.896
2024-06-27T05:00:00,20240627050000,0.92
2024-06-27T05:10:00,20240627051000,1.3
2024-06-27T05:20:00,20240627052000,1.99
2024-06-27T05:30:00,20240627053000,2.67
2024-06-27T05:40:00,20240627054000,3.35
2024-06-27T05:50:00,20240627055000,4.03
2024-06-27T06:00:00,20240627060000,4.71
2024-06-27T06:10:00,20240627061000,5.4
2024-06-27T06:20:00,20240627062000,7.13
2024-06-27T06:30:00,20240627063000,8.4
2024-06-27T06:40:00,20240627064000,9.68
2024-06-27T06:50:00,20240627065000,11.0
2024-06-27T07:00:00,20240627070000,12.4
2024-06-27T07:10:00,20240627071000,14.2
2024-06-27T07:20:00,20240627072000,16.0
2024-06-27T07:30:00,20240627073000,17.4
2024-06-27T07:40:00,20240627074000,19.2
2024-06-27T07:50:00,20240627075000,21.0
2024-06-27T08:00:00,20240627080000,22.8
2024-06-27T08:10:00,20240627081000,24.9
2024-06-27T08:20:00,20240627082000,25.7
2024-06-27T08:30:00,20240627083000,27.6
2024-06-27T08:40:00,20240627084000,29.5
2024-06-27T08:50:00,20240627085000,31.0
2024-06-27T09:00:00,20240627090000,32.4
2024-06-27T09:10:00,20240627091000,33.4
2024-06-27T09:20:00,20240627092000,34.2
2024-06-27T09:30:00,20240627093000,36.0
2024-06-27T09:40:00,20240627094000,36.7
2024-06-27T09:50:00,20240627095000,38.4
2024-06-27T10:00:00,20240627100000,38.8
2024-06-27T10:10:00,20240627101000,40.1
2024-06-27T10:20:00,20240627102000,41.2
2024-06-27T10:30:00,20240627103000,41.6
2024-06-27T10:40:00,20240627104000,42.0
2024-06-27T10:50:00,20240627105000,42.7
2024-06-27T11:00:00,20240627110000,43.4
2024-06-27T11:10:00,20240627111000,43.9
2024-06-27T11:20:00,20240627112000,44.1
2024-06-27T11:30:00,20240627113000,44.1
2024-06-27T11:40:00,20240627114000,44.3
2024-06-27T11:50:00,20240627115000,44.5
2024-06-27T12:00:00,20240627120000,44.8
2024-06-27T12:10:00,20240627121000,44.9
2024-06-27T12:20:00,20240627122000,44.5
2024-06-27T12:30:00,20240627123000,44.2
2024-06-27T12:40:00,20240627124000,43.8
2024-06-27T12:50:00,20240627125000,42.9
2024-06-27T13:00:00,20240627130000,43.3
2024-06-27T13:10:00,20240627131000,42.2
2024-06-27T13:20:00,20240627132000,41.1
2024-06-27T13:30:00,20240627133000,41.5
2024-06-27T13:40:00,20240627134000,40.1
2024-06-27T13:50:00,20240627135000,38.5
2024-06-27T14:00:00,20240627140000,35.9
