Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,22.4
2024-06-26T15:40:00,20240626154000,22.8
2024-06-26T15:50:00,20240626155000,22.0
2024-06-26T16:00:00,20240626160000,19.9
2024-06-26T16:10:00,20240626161000,17.6
2024-06-26T16:20:00,20240626162000,17.0
2024-06-26T16:30:00,20240626163000,15.5
2024-06-26T16:40:00,20240626164000,13.0
2024-06-26T16:50:00,20240626165000,11.6
2024-06-26T17:00:00,20240626170000,10.3
2024-06-26T17:10:00,20240626171000,8.97
2024-06-26T17:20:00,20240626172000,7.63
2024-06-26T17:30:00,20240626173000,6.31
2024-06-26T17:40:00,20240626174000,5.0
2024-06-26T17:50:00,20240626175000,3.82
2024-06-26T18:00:00,20240626180000,2.81
2024-06-26T18:10:00,20240626181000,1.8
2024-06-26T18:20:00,20240626182000,0.668
2024-06-26T18:30:00,20240626183000,0.177
2024-06-26T18:40:00,20240626184000,-0.316
2024-06-26T18:50:00,20240626185000,-0.386
2024-06-26T19:00:00,20240626190000,-0.342
2024-06-26T19:10:00,20240626191000,-0.293
2024-06-26T19:20:00,20240626192000,-0.267
2024-06-26T19:30:00,20240626193000,-0.274
2024-06-26T19:40:00,20240626194000,-0.282
2024-06-26T19:50:00,20240626195000,-0.29
2024-06-26T20:00:00,20240626200000,-0.298
2024-06-26T20:10:00,20240626201000,-0.305
2024-06-26T20:20:00,20240626202000,-0.313
2024-06-26T20:30:00,20240626203000,-0.321
2024-06-26T20:40:00,20240626204000,-0.329
2024-06-26T20:50:00,20240626205000,-0.337
2024-06-26T21:00:00,20240626210000,-0.345
2024-06-26T21:10:00,20240626211000,-0.353
2024-06-26T21:20:00,20240626212000,-0.36
2024-06-26T21:30:00,20240626213000,-0.368
2024-06-26T21:40:00,20240626214000,-0.376
2024-06-26T21:50:00,20240626215000,-0.384
2024-06-26T22:00:00,20240626220000,-0.392
2024-06-26T22:10:00,20240626221000,-0.4
2024-06-26T22:20:00,20240626222000,-0.408
2024-06-26T22:30:00,20240626223000,-0.415
