Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,35.9,54.0,431.0,572.0,255925,245596
2024-06-26T15:40:00,20240626154000,35.8,54.0,407.0,566.0,239809,229832
2024-06-26T15:50:00,20240626155000,35.7,54.0,387.0,560.0,225278,215559
2024-06-26T16:00:00,20240626160000,35.5,54.0,348.0,583.0,210589,201347
2024-06-26T16:10:00,20240626161000,35.2,54.0,311.0,589.0,190300,181649
2024-06-26T16:20:00,20240626162000,34.9,54.0,295.0,575.0,176911,168686
2024-06-26T16:30:00,20240626163000,34.6,54.0,267.0,567.0,156513,148990
2024-06-26T16:40:00,20240626164000,34.3,54.0,229.0,576.0,136914,130103
2024-06-26T16:50:00,20240626165000,34.0,54.0,214.0,554.0,124205,117506
2024-06-26T17:00:00,20240626170000,33.8,52.5,194.0,549.0,110749,103976
2024-06-26T17:10:00,20240626171000,33.5,42.4,167.0,546.0,96996,90367
2024-06-26T17:20:00,20240626172000,33.2,31.6,145.0,537.0,81995,75748
2024-06-26T17:30:00,20240626173000,32.9,27.4,119.0,542.0,69039,63325
2024-06-26T17:40:00,20240626174000,32.6,26.1,95.0,531.0,53944,48881
2024-06-26T17:50:00,20240626175000,32.3,24.7,72.7,528.0,41575,36632
2024-06-26T18:00:00,20240626180000,32.0,23.5,57.4,497.0,31765,27338
2024-06-26T18:10:00,20240626181000,31.7,23.1,44.8,480.0,24848,21034
2024-06-26T18:20:00,20240626182000,31.4,22.8,32.2,482.0,17463,14543
2024-06-26T18:30:00,20240626183000,31.1,22.4,20.7,487.0,10732,8800
2024-06-26T18:40:00,20240626184000,30.8,22.0,12.4,477.0,6328,5144
2024-06-26T18:50:00,20240626185000,30.5,21.7,3.58,554.0,1962,1587
2024-06-26T19:00:00,20240626190000,30.1,20.2,0.354,564.0,256,207
