Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-26T15:30:00,20240626153000,-399
2024-06-26T15:40:00,20240626154000,-399
2024-06-26T15:50:00,20240626155000,-399
2024-06-26T16:00:00,20240626160000,-399
2024-06-26T16:10:00,20240626161000,-399
2024-06-26T16:20:00,20240626162000,-399
2024-06-26T16:30:00,20240626163000,-399
2024-06-26T16:40:00,20240626164000,-399
2024-06-26T16:50:00,20240626165000,-399
2024-06-26T17:00:00,20240626170000,-399
2024-06-26T17:10:00,20240626171000,-399
2024-06-26T17:20:00,20240626172000,-399
2024-06-26T17:30:00,20240626173000,-399
2024-06-26T17:40:00,20240626174000,-399
2024-06-26T17:50:00,20240626175000,-399
2024-06-26T18:00:00,20240626180000,-399
2024-06-26T18:10:00,20240626181000,-399
2024-06-26T18:20:00,20240626182000,-399
2024-06-26T18:30:00,20240626183000,-399
2024-06-26T18:40:00,20240626184000,-399
2024-06-26T18:50:00,20240626185000,-399
2024-06-26T19:00:00,20240626190000,-399
2024-06-26T19:10:00,20240626191000,-399
2024-06-26T19:20:00,20240626192000,-399
2024-06-26T19:30:00,20240626193000,-400
2024-06-26T19:40:00,20240626194000,-400
2024-06-26T19:50:00,20240626195000,-400
2024-06-26T20:00:00,20240626200000,-400
2024-06-26T20:10:00,20240626201000,-400
2024-06-26T20:20:00,20240626202000,-400
2024-06-26T20:30:00,20240626203000,-400
2024-06-26T20:40:00,20240626204000,-400
2024-06-26T20:50:00,20240626205000,-400
2024-06-26T21:00:00,20240626210000,-400
2024-06-26T21:10:00,20240626211000,-400
2024-06-26T21:20:00,20240626212000,-400
2024-06-26T21:30:00,20240626213000,-400
2024-06-26T21:40:00,20240626214000,-400
2024-06-26T21:50:00,20240626215000,-400
2024-06-26T22:00:00,20240626220000,-400
2024-06-26T22:10:00,20240626221000,-400
2024-06-26T22:20:00,20240626222000,-400
2024-06-26T22:30:00,20240626223000,-400
2024-06-26T22:40:00,20240626224000,-400
2024-06-26T22:50:00,20240626225000,-400
2024-06-26T23:00:00,20240626230000,-400
2024-06-26T23:10:00,20240626231000,-400
2024-06-26T23:20:00,20240626232000,-400
2024-06-26T23:30:00,20240626233000,-400
2024-06-26T23:40:00,20240626234000,-400
2024-06-26T23:50:00,20240626235000,-400
2024-06-27T00:00:00,20240627000000,-400
2024-06-27T00:10:00,20240627001000,-400
2024-06-27T00:20:00,20240627002000,-400
2024-06-27T00:30:00,20240627003000,-400
2024-06-27T00:40:00,20240627004000,-400
2024-06-27T00:50:00,20240627005000,-400
2024-06-27T01:00:00,20240627010000,-400
2024-06-27T01:10:00,20240627011000,-400
2024-06-27T01:20:00,20240627012000,-400
2024-06-27T01:30:00,20240627013000,-400
2024-06-27T01:40:00,20240627014000,-400
2024-06-27T01:50:00,20240627015000,-400
2024-06-27T02:00:00,20240627020000,-400
2024-06-27T02:10:00,20240627021000,-400
2024-06-27T02:20:00,20240627022000,-400
2024-06-27T02:30:00,20240627023000,-400
2024-06-27T02:40:00,20240627024000,-400
2024-06-27T02:50:00,20240627025000,-400
2024-06-27T03:00:00,20240627030000,-400
2024-06-27T03:10:00,20240627031000,-400
2024-06-27T03:20:00,20240627032000,-400
2024-06-27T03:30:00,20240627033000,-400
2024-06-27T03:40:00,20240627034000,-400
2024-06-27T03:50:00,20240627035000,-400
2024-06-27T04:00:00,20240627040000,-400
2024-06-27T04:10:00,20240627041000,-400
2024-06-27T04:20:00,20240627042000,-400
2024-06-27T04:30:00,20240627043000,-400
2024-06-27T04:40:00,20240627044000,-400
2024-06-27T04:50:00,20240627045000,-399
2024-06-27T05:00:00,20240627050000,-399
2024-06-27T05:10:00,20240627051000,-399
2024-06-27T05:20:00,20240627052000,-399
2024-06-27T05:30:00,20240627053000,-399
2024-06-27T05:40:00,20240627054000,-399
2024-06-27T05:50:00,20240627055000,-399
2024-06-27T06:00:00,20240627060000,-399
2024-06-27T06:10:00,20240627061000,-399
2024-06-27T06:20:00,20240627062000,-399
2024-06-27T06:30:00,20240627063000,-399
2024-06-27T06:40:00,20240627064000,-399
2024-06-27T06:50:00,20240627065000,-399
2024-06-27T07:00:00,20240627070000,-399
2024-06-27T07:10:00,20240627071000,-399
2024-06-27T07:20:00,20240627072000,-399
2024-06-27T07:30:00,20240627073000,-399
2024-06-27T07:40:00,20240627074000,-399
2024-06-27T07:50:00,20240627075000,-399
2024-06-27T08:00:00,20240627080000,-399
2024-06-27T08:10:00,20240627081000,-399
2024-06-27T08:20:00,20240627082000,-399
2024-06-27T08:30:00,20240627083000,-399
2024-06-27T08:40:00,20240627084000,-399
