Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-26T15:30:00,20240626153000,-0.378
2024-06-26T15:40:00,20240626154000,-0.276
2024-06-26T15:50:00,20240626155000,-0.301
2024-06-26T16:00:00,20240626160000,-0.452
2024-06-26T16:10:00,20240626161000,-0.331
2024-06-26T16:20:00,20240626162000,-0.434
2024-06-26T16:30:00,20240626163000,-0.421
2024-06-26T16:40:00,20240626164000,-0.338
2024-06-26T16:50:00,20240626165000,-0.0792
2024-06-26T17:00:00,20240626170000,-0.119
2024-06-26T17:10:00,20240626171000,-0.314
2024-06-26T17:20:00,20240626172000,-0.221
2024-06-26T17:30:00,20240626173000,-0.358
2024-06-26T17:40:00,20240626174000,-0.369
2024-06-26T17:50:00,20240626175000,-0.37
2024-06-26T18:00:00,20240626180000,-0.312
2024-06-26T18:10:00,20240626181000,-0.291
2024-06-26T18:20:00,20240626182000,-0.591
2024-06-26T18:30:00,20240626183000,-0.297
2024-06-26T18:40:00,20240626184000,-0.458
2024-06-26T18:50:00,20240626185000,-0.341
2024-06-26T19:00:00,20240626190000,-0.484
2024-06-26T19:10:00,20240626191000,-0.507
2024-06-26T19:20:00,20240626192000,-0.761
2024-06-26T19:30:00,20240626193000,-0.749
2024-06-26T19:40:00,20240626194000,-1.01
2024-06-26T19:50:00,20240626195000,-1.07
2024-06-26T20:00:00,20240626200000,-1.17
2024-06-26T20:10:00,20240626201000,-1.24
2024-06-26T20:20:00,20240626202000,-1.08
2024-06-26T20:30:00,20240626203000,-1.06
2024-06-26T20:40:00,20240626204000,-1.16
2024-06-26T20:50:00,20240626205000,-1.08
2024-06-26T21:00:00,20240626210000,-1.1
2024-06-26T21:10:00,20240626211000,-1.22
2024-06-26T21:20:00,20240626212000,-1.2
2024-06-26T21:30:00,20240626213000,-1.02
2024-06-26T21:40:00,20240626214000,-1.17
2024-06-26T21:50:00,20240626215000,-1.21
2024-06-26T22:00:00,20240626220000,-1.21
2024-06-26T22:10:00,20240626221000,-1.19
2024-06-26T22:20:00,20240626222000,-1.11
2024-06-26T22:30:00,20240626223000,-1.05
2024-06-26T22:40:00,20240626224000,-1.26
2024-06-26T22:50:00,20240626225000,-1.19
2024-06-26T23:00:00,20240626230000,-1.12
2024-06-26T23:10:00,20240626231000,-1.15
2024-06-26T23:20:00,20240626232000,-1.27
2024-06-26T23:30:00,20240626233000,-1.19
2024-06-26T23:40:00,20240626234000,-1.2
2024-06-26T23:50:00,20240626235000,-1.12
2024-06-27T00:00:00,20240627000000,-1.09
2024-06-27T00:10:00,20240627001000,-1.29
2024-06-27T00:20:00,20240627002000,-1.31
2024-06-27T00:30:00,20240627003000,-1.03
2024-06-27T00:40:00,20240627004000,-1.23
2024-06-27T00:50:00,20240627005000,-1.08
2024-06-27T01:00:00,20240627010000,-1.19
2024-06-27T01:10:00,20240627011000,-1.24
2024-06-27T01:20:00,20240627012000,-1.32
2024-06-27T01:30:00,20240627013000,-1.05
2024-06-27T01:40:00,20240627014000,-1.37
2024-06-27T01:50:00,20240627015000,-1.1
2024-06-27T02:00:00,20240627020000,-1.21
2024-06-27T02:10:00,20240627021000,-1.39
2024-06-27T02:20:00,20240627022000,-1.23
2024-06-27T02:30:00,20240627023000,-1.24
2024-06-27T02:40:00,20240627024000,-1.09
2024-06-27T02:50:00,20240627025000,-1.09
2024-06-27T03:00:00,20240627030000,-1.12
2024-06-27T03:10:00,20240627031000,-1.09
2024-06-27T03:20:00,20240627032000,-1.17
2024-06-27T03:30:00,20240627033000,-1.05
2024-06-27T03:40:00,20240627034000,-1.23
2024-06-27T03:50:00,20240627035000,-1.07
2024-06-27T04:00:00,20240627040000,-1.36
2024-06-27T04:10:00,20240627041000,-1.0
2024-06-27T04:20:00,20240627042000,-0.973
2024-06-27T04:30:00,20240627043000,-0.735
2024-06-27T04:40:00,20240627044000,-0.73
2024-06-27T04:50:00,20240627045000,-0.459
2024-06-27T05:00:00,20240627050000,-0.42
