Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,47.0
2024-06-26T15:40:00,20240626154000,43.5
2024-06-26T15:50:00,20240626155000,40.8
2024-06-26T16:00:00,20240626160000,37.1
2024-06-26T16:10:00,20240626161000,32.2
2024-06-26T16:20:00,20240626162000,30.9
2024-06-26T16:30:00,20240626163000,27.1
2024-06-26T16:40:00,20240626164000,23.6
2024-06-26T16:50:00,20240626165000,21.4
2024-06-26T17:00:00,20240626170000,19.3
2024-06-26T17:10:00,20240626171000,16.8
2024-06-26T17:20:00,20240626172000,14.3
2024-06-26T17:30:00,20240626173000,11.9
2024-06-26T17:40:00,20240626174000,9.54
2024-06-26T17:50:00,20240626175000,7.21
2024-06-26T18:00:00,20240626180000,5.26
2024-06-26T18:10:00,20240626181000,4.25
2024-06-26T18:20:00,20240626182000,3.27
2024-06-26T18:30:00,20240626183000,2.32
2024-06-26T18:40:00,20240626184000,1.6
2024-06-26T18:50:00,20240626185000,1.08
2024-06-26T19:00:00,20240626190000,0.171
2024-06-26T19:10:00,20240626191000,0.167
2024-06-26T19:20:00,20240626192000,0.164
2024-06-26T19:30:00,20240626193000,0.161
2024-06-26T19:40:00,20240626194000,0.157
2024-06-26T19:50:00,20240626195000,0.154
2024-06-26T20:00:00,20240626200000,0.151
2024-06-26T20:10:00,20240626201000,0.148
2024-06-26T20:20:00,20240626202000,0.145
2024-06-26T20:30:00,20240626203000,0.142
2024-06-26T20:40:00,20240626204000,0.139
2024-06-26T20:50:00,20240626205000,0.136
2024-06-26T21:00:00,20240626210000,0.133
2024-06-26T21:10:00,20240626211000,0.13
2024-06-26T21:20:00,20240626212000,0.126
2024-06-26T21:30:00,20240626213000,0.123
2024-06-26T21:40:00,20240626214000,0.12
2024-06-26T21:50:00,20240626215000,0.117
2024-06-26T22:00:00,20240626220000,0.114
2024-06-26T22:10:00,20240626221000,0.111
2024-06-26T22:20:00,20240626222000,0.108
2024-06-26T22:30:00,20240626223000,0.105
2024-06-26T22:40:00,20240626224000,0.122
2024-06-26T22:50:00,20240626225000,0.173
2024-06-26T23:00:00,20240626230000,0.225
2024-06-26T23:10:00,20240626231000,0.254
2024-06-26T23:20:00,20240626232000,0.244
2024-06-26T23:30:00,20240626233000,0.233
2024-06-26T23:40:00,20240626234000,0.222
2024-06-26T23:50:00,20240626235000,0.21
2024-06-27T00:00:00,20240627000000,0.199
2024-06-27T00:10:00,20240627001000,0.188
2024-06-27T00:20:00,20240627002000,0.177
2024-06-27T00:30:00,20240627003000,0.166
2024-06-27T00:40:00,20240627004000,0.155
2024-06-27T00:50:00,20240627005000,0.144
2024-06-27T01:00:00,20240627010000,0.133
2024-06-27T01:10:00,20240627011000,0.134
2024-06-27T01:20:00,20240627012000,0.124
2024-06-27T01:30:00,20240627013000,0.114
2024-06-27T01:40:00,20240627014000,0.104
2024-06-27T01:50:00,20240627015000,0.0937
2024-06-27T02:00:00,20240627020000,0.0835
2024-06-27T02:10:00,20240627021000,0.0734
2024-06-27T02:20:00,20240627022000,0.0633
2024-06-27T02:30:00,20240627023000,0.0532
2024-06-27T02:40:00,20240627024000,0.0431
2024-06-27T02:50:00,20240627025000,0.033
2024-06-27T03:00:00,20240627030000,0.0229
2024-06-27T03:10:00,20240627031000,0.0128
2024-06-27T03:20:00,20240627032000,0.0027
2024-06-27T03:30:00,20240627033000,-0.00741
2024-06-27T03:40:00,20240627034000,-0.0175
2024-06-27T03:50:00,20240627035000,-0.0276
2024-06-27T04:00:00,20240627040000,-0.0377
2024-06-27T04:10:00,20240627041000,-0.0478
2024-06-27T04:20:00,20240627042000,-0.0579
2024-06-27T04:30:00,20240627043000,-0.068
2024-06-27T04:40:00,20240627044000,-0.0782
2024-06-27T04:50:00,20240627045000,-0.0833
2024-06-27T05:00:00,20240627050000,1.72
2024-06-27T05:10:00,20240627051000,2.48
2024-06-27T05:20:00,20240627052000,3.81
2024-06-27T05:30:00,20240627053000,5.15
2024-06-27T05:40:00,20240627054000,6.49
2024-06-27T05:50:00,20240627055000,7.83
2024-06-27T06:00:00,20240627060000,9.17
2024-06-27T06:10:00,20240627061000,10.8
2024-06-27T06:20:00,20240627062000,12.6
2024-06-27T06:30:00,20240627063000,14.5
2024-06-27T06:40:00,20240627064000,17.0
2024-06-27T06:50:00,20240627065000,20.0
2024-06-27T07:00:00,20240627070000,22.5
2024-06-27T07:10:00,20240627071000,25.3
2024-06-27T07:20:00,20240627072000,28.0
2024-06-27T07:30:00,20240627073000,31.3
2024-06-27T07:40:00,20240627074000,34.6
2024-06-27T07:50:00,20240627075000,37.0
2024-06-27T08:00:00,20240627080000,42.4
2024-06-27T08:10:00,20240627081000,44.0
2024-06-27T08:20:00,20240627082000,45.5
2024-06-27T08:30:00,20240627083000,47.3
2024-06-27T08:40:00,20240627084000,52.2
2024-06-27T08:50:00,20240627085000,53.7
2024-06-27T09:00:00,20240627090000,55.4
2024-06-27T09:10:00,20240627091000,58.9
2024-06-27T09:20:00,20240627092000,61.1
2024-06-27T09:30:00,20240627093000,63.0
2024-06-27T09:40:00,20240627094000,64.7
2024-06-27T09:50:00,20240627095000,66.8
2024-06-27T10:00:00,20240627100000,67.9
2024-06-27T10:10:00,20240627101000,70.6
2024-06-27T10:20:00,20240627102000,71.6
2024-06-27T10:30:00,20240627103000,73.0
2024-06-27T10:40:00,20240627104000,74.1
2024-06-27T10:50:00,20240627105000,73.9
2024-06-27T11:00:00,20240627110000,74.6
2024-06-27T11:10:00,20240627111000,76.6
2024-06-27T11:20:00,20240627112000,76.5
2024-06-27T11:30:00,20240627113000,75.6
2024-06-27T11:40:00,20240627114000,77.9
2024-06-27T11:50:00,20240627115000,77.1
2024-06-27T12:00:00,20240627120000,78.3
