Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,26.8
2024-06-26T15:40:00,20240626154000,25.2
2024-06-26T15:50:00,20240626155000,23.6
2024-06-26T16:00:00,20240626160000,21.6
2024-06-26T16:10:00,20240626161000,19.6
2024-06-26T16:20:00,20240626162000,17.8
2024-06-26T16:30:00,20240626163000,16.1
2024-06-26T16:40:00,20240626164000,14.0
2024-06-26T16:50:00,20240626165000,12.8
2024-06-26T17:00:00,20240626170000,11.4
2024-06-26T17:10:00,20240626171000,9.94
2024-06-26T17:20:00,20240626172000,8.46
2024-06-26T17:30:00,20240626173000,6.99
2024-06-26T17:40:00,20240626174000,5.52
2024-06-26T17:50:00,20240626175000,4.04
2024-06-26T18:00:00,20240626180000,2.78
2024-06-26T18:10:00,20240626181000,2.13
2024-06-26T18:20:00,20240626182000,1.52
2024-06-26T18:30:00,20240626183000,0.912
2024-06-26T18:40:00,20240626184000,0.3
2024-06-26T18:50:00,20240626185000,-0.24
2024-06-26T19:00:00,20240626190000,-0.298
2024-06-26T19:10:00,20240626191000,-0.305
2024-06-26T19:20:00,20240626192000,-0.316
2024-06-26T19:30:00,20240626193000,-0.327
2024-06-26T19:40:00,20240626194000,-0.338
2024-06-26T19:50:00,20240626195000,-0.349
2024-06-26T20:00:00,20240626200000,-0.36
2024-06-26T20:10:00,20240626201000,-0.372
2024-06-26T20:20:00,20240626202000,-0.383
2024-06-26T20:30:00,20240626203000,-0.394
2024-06-26T20:40:00,20240626204000,-0.405
2024-06-26T20:50:00,20240626205000,-0.416
2024-06-26T21:00:00,20240626210000,-0.427
2024-06-26T21:10:00,20240626211000,-0.438
2024-06-26T21:20:00,20240626212000,-0.449
2024-06-26T21:30:00,20240626213000,-0.461
2024-06-26T21:40:00,20240626214000,-0.472
2024-06-26T21:50:00,20240626215000,-0.483
2024-06-26T22:00:00,20240626220000,-0.494
2024-06-26T22:10:00,20240626221000,-0.505
2024-06-26T22:20:00,20240626222000,-0.516
2024-06-26T22:30:00,20240626223000,-0.527
2024-06-26T22:40:00,20240626224000,-0.539
2024-06-26T22:50:00,20240626225000,-0.55
2024-06-26T23:00:00,20240626230000,-0.561
2024-06-26T23:10:00,20240626231000,-0.572
2024-06-26T23:20:00,20240626232000,-0.582
2024-06-26T23:30:00,20240626233000,-0.577
2024-06-26T23:40:00,20240626234000,-0.567
2024-06-26T23:50:00,20240626235000,-0.557
2024-06-27T00:00:00,20240627000000,-0.547
2024-06-27T00:10:00,20240627001000,-0.537
2024-06-27T00:20:00,20240627002000,-0.527
2024-06-27T00:30:00,20240627003000,-0.517
2024-06-27T00:40:00,20240627004000,-0.506
2024-06-27T00:50:00,20240627005000,-0.496
2024-06-27T01:00:00,20240627010000,-0.486
2024-06-27T01:10:00,20240627011000,-0.366
2024-06-27T01:20:00,20240627012000,-0.346
2024-06-27T01:30:00,20240627013000,-0.326
2024-06-27T01:40:00,20240627014000,-0.305
2024-06-27T01:50:00,20240627015000,-0.285
2024-06-27T02:00:00,20240627020000,-0.265
2024-06-27T02:10:00,20240627021000,-0.245
2024-06-27T02:20:00,20240627022000,-0.224
2024-06-27T02:30:00,20240627023000,-0.204
2024-06-27T02:40:00,20240627024000,-0.184
2024-06-27T02:50:00,20240627025000,-0.164
2024-06-27T03:00:00,20240627030000,-0.143
2024-06-27T03:10:00,20240627031000,-0.123
2024-06-27T03:20:00,20240627032000,-0.103
2024-06-27T03:30:00,20240627033000,-0.0826
2024-06-27T03:40:00,20240627034000,-0.0624
2024-06-27T03:50:00,20240627035000,-0.0421
2024-06-27T04:00:00,20240627040000,-0.0219
2024-06-27T04:10:00,20240627041000,-0.00161
2024-06-27T04:20:00,20240627042000,0.0186
2024-06-27T04:30:00,20240627043000,0.0389
2024-06-27T04:40:00,20240627044000,0.0591
2024-06-27T04:50:00,20240627045000,0.0794
2024-06-27T05:00:00,20240627050000,0.0996
2024-06-27T05:10:00,20240627051000,0.295
2024-06-27T05:20:00,20240627052000,0.997
2024-06-27T05:30:00,20240627053000,1.73
2024-06-27T05:40:00,20240627054000,2.47
2024-06-27T05:50:00,20240627055000,3.2
2024-06-27T06:00:00,20240627060000,3.93
2024-06-27T06:10:00,20240627061000,4.71
2024-06-27T06:20:00,20240627062000,6.02
2024-06-27T06:30:00,20240627063000,7.48
2024-06-27T06:40:00,20240627064000,8.93
2024-06-27T06:50:00,20240627065000,10.4
2024-06-27T07:00:00,20240627070000,11.9
2024-06-27T07:10:00,20240627071000,13.3
2024-06-27T07:20:00,20240627072000,14.9
2024-06-27T07:30:00,20240627073000,16.7
2024-06-27T07:40:00,20240627074000,18.5
2024-06-27T07:50:00,20240627075000,20.4
2024-06-27T08:00:00,20240627080000,22.1
2024-06-27T08:10:00,20240627081000,23.9
2024-06-27T08:20:00,20240627082000,25.2
2024-06-27T08:30:00,20240627083000,26.3
2024-06-27T08:40:00,20240627084000,28.2
2024-06-27T08:50:00,20240627085000,29.8
2024-06-27T09:00:00,20240627090000,30.6
2024-06-27T09:10:00,20240627091000,31.8
2024-06-27T09:20:00,20240627092000,33.1
2024-06-27T09:30:00,20240627093000,34.1
2024-06-27T09:40:00,20240627094000,35.3
2024-06-27T09:50:00,20240627095000,36.4
2024-06-27T10:00:00,20240627100000,37.4
2024-06-27T10:10:00,20240627101000,38.0
2024-06-27T10:20:00,20240627102000,38.7
2024-06-27T10:30:00,20240627103000,39.6
2024-06-27T10:40:00,20240627104000,40.3
2024-06-27T10:50:00,20240627105000,41.0
2024-06-27T11:00:00,20240627110000,41.8
2024-06-27T11:10:00,20240627111000,42.3
2024-06-27T11:20:00,20240627112000,42.9
2024-06-27T11:30:00,20240627113000,42.8
2024-06-27T11:40:00,20240627114000,43.0
2024-06-27T11:50:00,20240627115000,43.0
2024-06-27T12:00:00,20240627120000,43.4
2024-06-27T12:10:00,20240627121000,43.1
2024-06-27T12:20:00,20240627122000,43.3
