Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,37.8,55.0,413.0,599.0,253680,243400
2024-06-26T15:40:00,20240626154000,37.5,55.0,406.0,571.0,238483,228537
2024-06-26T15:50:00,20240626155000,37.2,55.0,389.0,560.0,224105,214507
2024-06-26T16:00:00,20240626160000,36.9,55.1,352.0,580.0,209579,200365
2024-06-26T16:10:00,20240626161000,36.6,55.1,330.0,552.0,187196,178642
2024-06-26T16:20:00,20240626162000,36.3,54.4,304.0,565.0,174897,166738
2024-06-26T16:30:00,20240626163000,36.0,53.6,268.0,566.0,156033,148528
2024-06-26T16:40:00,20240626164000,35.7,52.0,239.0,540.0,133664,126899
2024-06-26T16:50:00,20240626165000,35.4,49.8,213.0,563.0,123510,116822
2024-06-26T17:00:00,20240626170000,35.1,47.5,186.0,577.0,110209,103444
2024-06-26T17:10:00,20240626171000,34.8,45.3,156.0,598.0,95410,88807
2024-06-26T17:20:00,20240626172000,34.5,43.0,134.0,585.0,80485,74291
2024-06-26T17:30:00,20240626173000,34.2,40.8,116.0,558.0,67237,61614
2024-06-26T17:40:00,20240626174000,33.9,38.4,94.1,528.0,51886,46837
2024-06-26T17:50:00,20240626175000,33.6,35.7,72.7,525.0,39645,34771
2024-06-26T18:00:00,20240626180000,33.3,33.9,55.2,518.0,29831,25556
2024-06-26T18:10:00,20240626181000,33.0,33.1,43.8,498.0,23040,19429
2024-06-26T18:20:00,20240626182000,32.7,32.3,30.3,521.0,15000,12419
2024-06-26T18:30:00,20240626183000,32.4,31.5,21.0,498.0,9907,8105
2024-06-26T18:40:00,20240626184000,32.1,30.7,14.9,480.0,6484,5264
2024-06-26T18:50:00,20240626185000,31.7,30.0,2.89,578.0,1239,1002
2024-06-26T19:00:00,20240626190000,31.4,29.6,0.0,549.0,0,0
2024-06-26T19:10:00,20240626191000,31.2,29.1,0.0,467.0,0,0
2024-06-26T19:20:00,20240626192000,31.0,28.7,0.0,358.0,0,0
