Time,sanitized_timestamp_for_iri,s4MMXU.TotW.mag.f
2024-06-27T15:10:00,20240627151000,1724504
2024-06-27T15:20:00,20240627152000,1644849
2024-06-27T15:30:00,20240627153000,1565195
2024-06-27T15:40:00,20240627154000,1485540
2024-06-27T15:50:00,20240627155000,1405886
2024-06-27T16:00:00,20240627160000,1326231
2024-06-27T16:10:00,20240627161000,1246577
2024-06-27T16:20:00,20240627162000,1166922
2024-06-27T16:30:00,20240627163000,1087268
2024-06-27T16:40:00,20240627164000,1007613
2024-06-27T16:50:00,20240627165000,927959
2024-06-27T17:00:00,20240627170000,848304
2024-06-27T17:10:00,20240627171000,768649
2024-06-27T17:20:00,20240627172000,688995
2024-06-27T17:30:00,20240627173000,609340
2024-06-27T17:40:00,20240627174000,529686
2024-06-27T17:50:00,20240627175000,450031
2024-06-27T18:00:00,20240627180000,370377
2024-06-27T18:10:00,20240627181000,290722
2024-06-27T18:20:00,20240627182000,211068
2024-06-27T18:30:00,20240627183000,131413
2024-06-27T18:40:00,20240627184000,55000
2024-06-27T18:50:00,20240627185000,33536
2024-06-27T19:00:00,20240627190000,31791
2024-06-27T19:10:00,20240627191000,31166
2024-06-27T19:20:00,20240627192000,29824
2024-06-27T19:30:00,20240627193000,28482
2024-06-27T19:40:00,20240627194000,27139
2024-06-27T19:50:00,20240627195000,25797
2024-06-27T20:00:00,20240627200000,24455
2024-06-27T20:10:00,20240627201000,24684
2024-06-27T20:20:00,20240627202000,23521
2024-06-27T20:30:00,20240627203000,22357
2024-06-27T20:40:00,20240627204000,21194
2024-06-27T20:50:00,20240627205000,20031
2024-06-27T21:00:00,20240627210000,18867
2024-06-27T21:10:00,20240627211000,17704
2024-06-27T21:20:00,20240627212000,16541
2024-06-27T21:30:00,20240627213000,15377
2024-06-27T21:40:00,20240627214000,14214
2024-06-27T21:50:00,20240627215000,13051
2024-06-27T22:00:00,20240627220000,11887
2024-06-27T22:10:00,20240627221000,10724
2024-06-27T22:20:00,20240627222000,9561
2024-06-27T22:30:00,20240627223000,8397
2024-06-27T22:40:00,20240627224000,7234
2024-06-27T22:50:00,20240627225000,6071
2024-06-27T23:00:00,20240627230000,4907
2024-06-27T23:10:00,20240627231000,3744
2024-06-27T23:20:00,20240627232000,2581
2024-06-27T23:30:00,20240627233000,1417
2024-06-27T23:40:00,20240627234000,300
2024-06-27T23:50:00,20240627235000,0
2024-06-28T00:00:00,20240628000000,0
2024-06-28T00:10:00,20240628001000,0
2024-06-28T00:20:00,20240628002000,0
2024-06-28T00:30:00,20240628003000,0
2024-06-28T00:40:00,20240628004000,0
2024-06-28T00:50:00,20240628005000,0
2024-06-28T01:00:00,20240628010000,0
2024-06-28T01:10:00,20240628011000,8913
2024-06-28T01:20:00,20240628012000,10058
2024-06-28T01:30:00,20240628013000,11203
2024-06-28T01:40:00,20240628014000,12349
2024-06-28T01:50:00,20240628015000,13494
2024-06-28T02:00:00,20240628020000,14639
2024-06-28T02:10:00,20240628021000,100842
2024-06-28T02:20:00,20240628022000,108158
