Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-26T15:30:00,20240626153000,-0.79
2024-06-26T15:40:00,20240626154000,-0.775
2024-06-26T15:50:00,20240626155000,-0.695
2024-06-26T16:00:00,20240626160000,-0.701
2024-06-26T16:10:00,20240626161000,-0.799
2024-06-26T16:20:00,20240626162000,-0.767
2024-06-26T16:30:00,20240626163000,-0.772
2024-06-26T16:40:00,20240626164000,-0.749
2024-06-26T16:50:00,20240626165000,-0.659
2024-06-26T17:00:00,20240626170000,-0.679
2024-06-26T17:10:00,20240626171000,-0.722
2024-06-26T17:20:00,20240626172000,-0.757
2024-06-26T17:30:00,20240626173000,-0.806
2024-06-26T17:40:00,20240626174000,-0.618
2024-06-26T17:50:00,20240626175000,-0.702
2024-06-26T18:00:00,20240626180000,-0.768
2024-06-26T18:10:00,20240626181000,-0.822
2024-06-26T18:20:00,20240626182000,-0.702
2024-06-26T18:30:00,20240626183000,-0.855
2024-06-26T18:40:00,20240626184000,-0.808
2024-06-26T18:50:00,20240626185000,-0.701
2024-06-26T19:00:00,20240626190000,-0.769
2024-06-26T19:10:00,20240626191000,-0.749
2024-06-26T19:20:00,20240626192000,-0.764
2024-06-26T19:30:00,20240626193000,-0.778
2024-06-26T19:40:00,20240626194000,-0.939
2024-06-26T19:50:00,20240626195000,-0.943
2024-06-26T20:00:00,20240626200000,-0.893
2024-06-26T20:10:00,20240626201000,-0.902
2024-06-26T20:20:00,20240626202000,-0.92
2024-06-26T20:30:00,20240626203000,-0.905
2024-06-26T20:40:00,20240626204000,-0.916
2024-06-26T20:50:00,20240626205000,-0.922
2024-06-26T21:00:00,20240626210000,-0.893
2024-06-26T21:10:00,20240626211000,-0.797
2024-06-26T21:20:00,20240626212000,-0.962
2024-06-26T21:30:00,20240626213000,-0.92
2024-06-26T21:40:00,20240626214000,-0.935
2024-06-26T21:50:00,20240626215000,-0.932
2024-06-26T22:00:00,20240626220000,-0.947
2024-06-26T22:10:00,20240626221000,-0.898
2024-06-26T22:20:00,20240626222000,-0.89
2024-06-26T22:30:00,20240626223000,-0.857
2024-06-26T22:40:00,20240626224000,-0.828
2024-06-26T22:50:00,20240626225000,-0.844
2024-06-26T23:00:00,20240626230000,-0.908
2024-06-26T23:10:00,20240626231000,-0.918
2024-06-26T23:20:00,20240626232000,-0.915
2024-06-26T23:30:00,20240626233000,-0.961
2024-06-26T23:40:00,20240626234000,-0.881
2024-06-26T23:50:00,20240626235000,-0.969
2024-06-27T00:00:00,20240627000000,-0.958
2024-06-27T00:10:00,20240627001000,-0.848
2024-06-27T00:20:00,20240627002000,-0.952
2024-06-27T00:30:00,20240627003000,-0.924
2024-06-27T00:40:00,20240627004000,-0.939
2024-06-27T00:50:00,20240627005000,-0.881
2024-06-27T01:00:00,20240627010000,-0.922
2024-06-27T01:10:00,20240627011000,-0.935
2024-06-27T01:20:00,20240627012000,-0.822
2024-06-27T01:30:00,20240627013000,-0.886
2024-06-27T01:40:00,20240627014000,-1.05
2024-06-27T01:50:00,20240627015000,-0.855
2024-06-27T02:00:00,20240627020000,-0.912
2024-06-27T02:10:00,20240627021000,-0.851
2024-06-27T02:20:00,20240627022000,-0.838
2024-06-27T02:30:00,20240627023000,-0.886
