Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-30T03:20:00,20240630032000,0.16,15.8
2024-06-30T03:30:00,20240630033000,0.042,15.1
2024-06-30T03:40:00,20240630034000,0.149,15.1
2024-06-30T03:50:00,20240630035000,0.0646,15.3
2024-06-30T04:00:00,20240630040000,0.155,15.3
2024-06-30T04:10:00,20240630041000,0.213,15.5
2024-06-30T04:20:00,20240630042000,0.176,15.3
2024-06-30T04:30:00,20240630043000,0.167,15.9
2024-06-30T04:40:00,20240630044000,0.248,16.3
2024-06-30T04:50:00,20240630045000,0.163,16.2
2024-06-30T05:00:00,20240630050000,0.104,16.4
2024-06-30T05:10:00,20240630051000,0.306,17.2
2024-06-30T05:20:00,20240630052000,0.238,17.1
2024-06-30T05:30:00,20240630053000,0.165,18.2
2024-06-30T05:40:00,20240630054000,0.278,18.5
2024-06-30T05:50:00,20240630055000,0.216,19.1
2024-06-30T06:00:00,20240630060000,0.358,20.8
2024-06-30T06:10:00,20240630061000,0.331,20.8
2024-06-30T06:20:00,20240630062000,0.276,22.0
2024-06-30T06:30:00,20240630063000,0.271,23.7
2024-06-30T06:40:00,20240630064000,0.139,23.7
2024-06-30T06:50:00,20240630065000,0.284,24.7
2024-06-30T07:00:00,20240630070000,0.249,25.7
2024-06-30T07:10:00,20240630071000,0.229,26.9
2024-06-30T07:20:00,20240630072000,0.135,28.4
2024-06-30T07:30:00,20240630073000,0.275,29.1
2024-06-30T07:40:00,20240630074000,0.226,29.7
2024-06-30T07:50:00,20240630075000,0.157,31.3
2024-06-30T08:00:00,20240630080000,0.247,31.9
2024-06-30T08:10:00,20240630081000,0.317,33.9
2024-06-30T08:20:00,20240630082000,0.385,36.1
2024-06-30T08:30:00,20240630083000,0.216,37.5
2024-06-30T08:40:00,20240630084000,0.257,37.8
2024-06-30T08:50:00,20240630085000,0.338,37.8
2024-06-30T09:00:00,20240630090000,0.299,39.5
2024-06-30T09:10:00,20240630091000,0.299,38.8
2024-06-30T09:20:00,20240630092000,0.39,40.5
2024-06-30T09:30:00,20240630093000,0.221,40.3
2024-06-30T09:40:00,20240630094000,0.256,41.8
2024-06-30T09:50:00,20240630095000,0.284,42.2
2024-06-30T10:00:00,20240630100000,0.318,44.5
2024-06-30T10:10:00,20240630101000,0.336,44.8
2024-06-30T10:20:00,20240630102000,0.193,45.9
2024-06-30T10:30:00,20240630103000,0.303,44.2
2024-06-30T10:40:00,20240630104000,0.447,45.4
2024-06-30T10:50:00,20240630105000,0.264,43.9
2024-06-30T11:00:00,20240630110000,0.307,45.3
2024-06-30T11:10:00,20240630111000,0.245,45.4
2024-06-30T11:20:00,20240630112000,0.363,41.1
2024-06-30T11:30:00,20240630113000,0.443,40.4
2024-06-30T11:40:00,20240630114000,0.329,38.6
2024-06-30T11:50:00,20240630115000,0.47,38.7
2024-06-30T12:00:00,20240630120000,0.372,38.3
2024-06-30T12:10:00,20240630121000,0.522,37.7
2024-06-30T12:20:00,20240630122000,0.36,36.7
2024-06-30T12:30:00,20240630123000,0.294,38.0
2024-06-30T12:40:00,20240630124000,0.364,37.6
2024-06-30T12:50:00,20240630125000,0.275,36.5
2024-06-30T13:00:00,20240630130000,0.37,35.7
2024-06-30T13:10:00,20240630131000,0.33,38.3
2024-06-30T13:20:00,20240630132000,0.301,41.1
2024-06-30T13:30:00,20240630133000,0.304,38.4
2024-06-30T13:40:00,20240630134000,0.284,35.8
2024-06-30T13:50:00,20240630135000,0.218,36.9
2024-06-30T14:00:00,20240630140000,0.229,36.3
2024-06-30T14:10:00,20240630141000,0.394,34.4
2024-06-30T14:20:00,20240630142000,0.347,36.4
2024-06-30T14:30:00,20240630143000,0.382,37.8
2024-06-30T14:40:00,20240630144000,0.403,37.7
2024-06-30T14:50:00,20240630145000,0.194,37.6
2024-06-30T15:00:00,20240630150000,0.43,37.3
2024-06-30T15:10:00,20240630151000,0.276,37.6
2024-06-30T15:20:00,20240630152000,0.342,37.4
2024-06-30T15:30:00,20240630153000,0.237,33.6
2024-06-30T15:40:00,20240630154000,0.136,33.0
2024-06-30T15:50:00,20240630155000,0.378,31.1
2024-06-30T16:00:00,20240630160000,0.508,30.7
2024-06-30T16:10:00,20240630161000,0.426,30.6
2024-06-30T16:20:00,20240630162000,0.413,30.1
2024-06-30T16:30:00,20240630163000,0.336,30.6
2024-06-30T16:40:00,20240630164000,0.393,31.1
2024-06-30T16:50:00,20240630165000,0.336,32.6
2024-06-30T17:00:00,20240630170000,0.426,31.2
2024-06-30T17:10:00,20240630171000,0.354,30.8
2024-06-30T17:20:00,20240630172000,0.219,30.7
2024-06-30T17:30:00,20240630173000,0.37,28.4
2024-06-30T17:40:00,20240630174000,0.382,27.6
2024-06-30T17:50:00,20240630175000,0.254,26.6
2024-06-30T18:00:00,20240630180000,0.32,26.0
2024-06-30T18:10:00,20240630181000,0.343,25.7
2024-06-30T18:20:00,20240630182000,0.325,24.8
2024-06-30T18:30:00,20240630183000,0.247,24.6
2024-06-30T18:40:00,20240630184000,0.231,23.7
2024-06-30T18:50:00,20240630185000,0.369,23.9
2024-06-30T19:00:00,20240630190000,0.32,22.9
2024-06-30T19:10:00,20240630191000,0.178,22.1
2024-06-30T19:20:00,20240630192000,0.295,22.1
2024-06-30T19:30:00,20240630193000,0.259,21.6
2024-06-30T19:40:00,20240630194000,0.414,21.5
2024-06-30T19:50:00,20240630195000,0.149,21.3
2024-06-30T20:00:00,20240630200000,0.114,20.6
2024-06-30T20:10:00,20240630201000,0.19,20.9
2024-06-30T20:20:00,20240630202000,0.305,21.1
2024-06-30T20:30:00,20240630203000,0.209,21.0
2024-06-30T20:40:00,20240630204000,0.202,21.0
2024-06-30T20:50:00,20240630205000,0.224,21.0
2024-06-30T21:00:00,20240630210000,0.199,20.3
2024-06-30T21:10:00,20240630211000,0.111,20.4
2024-06-30T21:20:00,20240630212000,0.234,20.0
2024-06-30T21:30:00,20240630213000,0.216,19.9
2024-06-30T21:40:00,20240630214000,0.248,19.5
2024-06-30T21:50:00,20240630215000,0.249,19.6
2024-06-30T22:00:00,20240630220000,0.207,19.6
2024-06-30T22:10:00,20240630221000,0.293,20.1
2024-06-30T22:20:00,20240630222000,0.107,19.9
2024-06-30T22:30:00,20240630223000,0.186,19.4
2024-06-30T22:40:00,20240630224000,0.106,19.7
2024-06-30T22:50:00,20240630225000,0.242,20.0
2024-06-30T23:00:00,20240630230000,0.146,20.2
2024-06-30T23:10:00,20240630231000,0.136,20.3
2024-06-30T23:20:00,20240630232000,0.207,19.9
2024-06-30T23:30:00,20240630233000,0.167,20.0
2024-06-30T23:40:00,20240630234000,0.136,19.9
2024-06-30T23:50:00,20240630235000,0.173,20.1
2024-07-01T00:00:00,20240701000000,0.15,20.3
2024-07-01T00:10:00,20240701001000,0.285,20.0
2024-07-01T00:20:00,20240701002000,0.235,20.1
2024-07-01T00:30:00,20240701003000,0.0522,20.0
2024-07-01T00:40:00,20240701004000,0.153,20.2
2024-07-01T00:50:00,20240701005000,0.254,20.7
2024-07-01T01:00:00,20240701010000,0.143,20.3
2024-07-01T01:10:00,20240701011000,0.119,20.2
2024-07-01T01:20:00,20240701012000,0.256,19.6
2024-07-01T01:30:00,20240701013000,0.0921,19.2
2024-07-01T01:40:00,20240701014000,0.172,18.5
2024-07-01T01:50:00,20240701015000,0.0873,18.5
2024-07-01T02:00:00,20240701020000,0.13,19.0
2024-07-01T02:10:00,20240701021000,0.12,18.7
2024-07-01T02:20:00,20240701022000,0.254,18.9
2024-07-01T02:30:00,20240701023000,0.241,19.1
2024-07-01T02:40:00,20240701024000,0.268,18.7
2024-07-01T02:50:00,20240701025000,0.192,18.6
2024-07-01T03:00:00,20240701030000,0.259,18.2
2024-07-01T03:10:00,20240701031000,0.107,18.0
2024-07-01T03:20:00,20240701032000,0.18,18.5
2024-07-01T03:30:00,20240701033000,0.000432,18.9
2024-07-01T03:40:00,20240701034000,0.111,19.1
2024-07-01T03:50:00,20240701035000,0.166,18.7
2024-07-01T04:00:00,20240701040000,0.294,18.7
2024-07-01T04:10:00,20240701041000,0.184,19.0
2024-07-01T04:20:00,20240701042000,0.164,19.2
2024-07-01T04:30:00,20240701043000,0.239,19.1
2024-07-01T04:40:00,20240701044000,0.189,18.9
2024-07-01T04:50:00,20240701045000,0.32,19.1
2024-07-01T05:00:00,20240701050000,0.278,19.1
2024-07-01T05:10:00,20240701051000,0.288,18.9
2024-07-01T05:20:00,20240701052000,0.103,19.7
2024-07-01T05:30:00,20240701053000,0.259,19.9
2024-07-01T05:40:00,20240701054000,0.383,20.3
2024-07-01T05:50:00,20240701055000,0.168,21.9
2024-07-01T06:00:00,20240701060000,0.327,21.2
2024-07-01T06:10:00,20240701061000,0.246,21.5
2024-07-01T06:20:00,20240701062000,0.368,22.7
2024-07-01T06:30:00,20240701063000,0.268,23.8
2024-07-01T06:40:00,20240701064000,0.212,25.1
2024-07-01T06:50:00,20240701065000,0.271,27.2
2024-07-01T07:00:00,20240701070000,0.308,28.0
2024-07-01T07:10:00,20240701071000,0.305,28.4
2024-07-01T07:20:00,20240701072000,0.381,27.6
2024-07-01T07:30:00,20240701073000,0.29,28.0
2024-07-01T07:40:00,20240701074000,0.328,27.1
2024-07-01T07:50:00,20240701075000,0.293,27.5
2024-07-01T08:00:00,20240701080000,0.338,28.3
2024-07-01T08:10:00,20240701081000,0.395,27.6
2024-07-01T08:20:00,20240701082000,0.369,29.2
2024-07-01T08:30:00,20240701083000,0.257,30.7
2024-07-01T08:40:00,20240701084000,0.331,31.5
2024-07-01T08:50:00,20240701085000,0.284,32.6
2024-07-01T09:00:00,20240701090000,0.252,32.2
2024-07-01T09:10:00,20240701091000,0.3,33.7
2024-07-01T09:20:00,20240701092000,0.235,32.4
2024-07-01T09:30:00,20240701093000,0.389,33.1
2024-07-01T09:40:00,20240701094000,0.317,33.1
2024-07-01T09:50:00,20240701095000,0.386,32.6
2024-07-01T10:00:00,20240701100000,0.371,32.0
2024-07-01T10:10:00,20240701101000,0.289,31.0
2024-07-01T10:20:00,20240701102000,0.436,31.8
2024-07-01T10:30:00,20240701103000,0.294,30.4
2024-07-01T10:40:00,20240701104000,0.322,30.2
2024-07-01T10:50:00,20240701105000,0.348,31.2
2024-07-01T11:00:00,20240701110000,0.302,31.5
2024-07-01T11:10:00,20240701111000,0.233,31.7
2024-07-01T11:20:00,20240701112000,0.191,32.7
2024-07-01T11:30:00,20240701113000,0.236,34.9
2024-07-01T11:40:00,20240701114000,0.265,34.4
2024-07-01T11:50:00,20240701115000,0.162,35.5
2024-07-01T12:00:00,20240701120000,0.392,34.5
2024-07-01T12:10:00,20240701121000,0.375,34.8
2024-07-01T12:20:00,20240701122000,0.337,37.1
2024-07-01T12:30:00,20240701123000,0.355,36.2
2024-07-01T12:40:00,20240701124000,0.347,37.6
2024-07-01T12:50:00,20240701125000,0.272,37.5
2024-07-01T13:00:00,20240701130000,0.244,38.3
2024-07-01T13:10:00,20240701131000,0.333,37.8
2024-07-01T13:20:00,20240701132000,0.327,38.6
2024-07-01T13:30:00,20240701133000,0.271,38.5
2024-07-01T13:40:00,20240701134000,0.419,39.1
2024-07-01T13:50:00,20240701135000,0.247,39.0
2024-07-01T14:00:00,20240701140000,0.419,37.5
2024-07-01T14:10:00,20240701141000,0.264,38.0
2024-07-01T14:20:00,20240701142000,0.331,38.0
2024-07-01T14:30:00,20240701143000,0.297,36.5
2024-07-01T14:40:00,20240701144000,0.297,37.1
2024-07-01T14:50:00,20240701145000,0.329,37.6
2024-07-01T15:00:00,20240701150000,0.421,37.0
2024-07-01T15:10:00,20240701151000,0.291,37.6
2024-07-01T15:20:00,20240701152000,0.162,35.7
2024-07-01T15:30:00,20240701153000,0.276,35.0
2024-07-01T15:40:00,20240701154000,0.324,32.9
2024-07-01T15:50:00,20240701155000,0.307,32.2
2024-07-01T16:00:00,20240701160000,0.289,33.6
2024-07-01T16:10:00,20240701161000,0.369,32.8
2024-07-01T16:20:00,20240701162000,0.264,31.6
2024-07-01T16:30:00,20240701163000,0.43,31.4
2024-07-01T16:40:00,20240701164000,0.379,30.2
2024-07-01T16:50:00,20240701165000,0.395,29.2
2024-07-01T17:00:00,20240701170000,0.329,30.2
2024-07-01T17:10:00,20240701171000,0.416,28.4
2024-07-01T17:20:00,20240701172000,0.229,28.2
2024-07-01T17:30:00,20240701173000,0.274,27.7
2024-07-01T17:40:00,20240701174000,0.229,26.5
2024-07-01T17:50:00,20240701175000,0.353,26.5
2024-07-01T18:00:00,20240701180000,0.394,24.1
2024-07-01T18:10:00,20240701181000,0.373,23.8
2024-07-01T18:20:00,20240701182000,0.333,23.7
2024-07-01T18:30:00,20240701183000,0.252,23.0
2024-07-01T18:40:00,20240701184000,0.254,22.4
2024-07-01T18:50:00,20240701185000,0.24,22.5
2024-07-01T19:00:00,20240701190000,0.267,21.8
2024-07-01T19:10:00,20240701191000,0.214,21.4
2024-07-01T19:20:00,20240701192000,0.397,21.3
2024-07-01T19:30:00,20240701193000,0.317,21.0
2024-07-01T19:40:00,20240701194000,0.217,20.7
2024-07-01T19:50:00,20240701195000,0.191,20.4
2024-07-01T20:00:00,20240701200000,0.146,19.9
2024-07-01T20:10:00,20240701201000,0.211,20.2
2024-07-01T20:20:00,20240701202000,0.0784,20.4
2024-07-01T20:30:00,20240701203000,0.0568,20.3
2024-07-01T20:40:00,20240701204000,0.105,20.2
2024-07-01T20:50:00,20240701205000,0.271,20.1
2024-07-01T21:00:00,20240701210000,0.142,20.2
2024-07-01T21:10:00,20240701211000,0.155,20.0
2024-07-01T21:20:00,20240701212000,0.0719,20.1
2024-07-01T21:30:00,20240701213000,0.137,20.2
2024-07-01T21:40:00,20240701214000,0.0675,20.4
2024-07-01T21:50:00,20240701215000,0.226,20.6
2024-07-01T22:00:00,20240701220000,0.133,20.4
2024-07-01T22:10:00,20240701221000,0.131,20.3
2024-07-01T22:20:00,20240701222000,0.236,19.6
2024-07-01T22:30:00,20240701223000,0.138,19.4
2024-07-01T22:40:00,20240701224000,0.271,18.7
2024-07-01T22:50:00,20240701225000,0.0783,18.9
2024-07-01T23:00:00,20240701230000,0.176,18.1
2024-07-01T23:10:00,20240701231000,0.0585,18.4
2024-07-01T23:20:00,20240701232000,0.247,18.7
2024-07-01T23:30:00,20240701233000,0.201,18.3
2024-07-01T23:40:00,20240701234000,0.193,18.0
2024-07-01T23:50:00,20240701235000,0.172,17.7
2024-07-02T00:00:00,20240702000000,0.0693,17.4
