Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-27T10:50:00,20240627105000,0.244,49.6
2024-06-27T11:00:00,20240627110000,0.204,48.3
2024-06-27T11:10:00,20240627111000,0.335,48.5
2024-06-27T11:20:00,20240627112000,0.355,48.2
2024-06-27T11:30:00,20240627113000,0.299,49.2
2024-06-27T11:40:00,20240627114000,0.309,48.3
2024-06-27T11:50:00,20240627115000,0.298,47.9
2024-06-27T12:00:00,20240627120000,0.306,49.9
2024-06-27T12:10:00,20240627121000,0.424,49.8
2024-06-27T12:20:00,20240627122000,0.418,49.4
2024-06-27T12:30:00,20240627123000,0.359,50.5
2024-06-27T12:40:00,20240627124000,0.203,50.3
2024-06-27T12:50:00,20240627125000,0.34,47.4
2024-06-27T13:00:00,20240627130000,0.256,45.1
2024-06-27T13:10:00,20240627131000,0.358,44.7
2024-06-27T13:20:00,20240627132000,0.369,45.7
2024-06-27T13:30:00,20240627133000,0.296,43.6
2024-06-27T13:40:00,20240627134000,0.448,42.6
2024-06-27T13:50:00,20240627135000,0.348,44.5
2024-06-27T14:00:00,20240627140000,0.416,43.5
2024-06-27T14:10:00,20240627141000,0.381,44.2
2024-06-27T14:20:00,20240627142000,0.231,44.3
2024-06-27T14:30:00,20240627143000,0.522,43.2
2024-06-27T14:40:00,20240627144000,0.313,42.9
2024-06-27T14:50:00,20240627145000,0.42,41.9
2024-06-27T15:00:00,20240627150000,0.363,40.8
2024-06-27T15:10:00,20240627151000,0.3,38.6
2024-06-27T15:20:00,20240627152000,0.271,39.2
2024-06-27T15:30:00,20240627153000,0.441,38.6
2024-06-27T15:40:00,20240627154000,0.482,37.8
2024-06-27T15:50:00,20240627155000,0.409,37.8
2024-06-27T16:00:00,20240627160000,0.433,38.9
2024-06-27T16:10:00,20240627161000,0.353,36.7
2024-06-27T16:20:00,20240627162000,0.335,37.7
2024-06-27T16:30:00,20240627163000,0.315,36.3
2024-06-27T16:40:00,20240627164000,0.37,32.9
2024-06-27T16:50:00,20240627165000,0.365,32.3
2024-06-27T17:00:00,20240627170000,0.272,32.5
2024-06-27T17:10:00,20240627171000,0.474,32.9
2024-06-27T17:20:00,20240627172000,0.456,31.4
2024-06-27T17:30:00,20240627173000,0.411,31.1
2024-06-27T17:40:00,20240627174000,0.396,30.3
2024-06-27T17:50:00,20240627175000,0.321,28.9
2024-06-27T18:00:00,20240627180000,0.341,28.5
2024-06-27T18:10:00,20240627181000,0.321,29.1
2024-06-27T18:20:00,20240627182000,0.419,28.6
2024-06-27T18:30:00,20240627183000,0.241,28.6
2024-06-27T18:40:00,20240627184000,0.316,27.8
2024-06-27T18:50:00,20240627185000,0.34,26.6
2024-06-27T19:00:00,20240627190000,0.352,26.1
2024-06-27T19:10:00,20240627191000,0.249,24.4
2024-06-27T19:20:00,20240627192000,0.288,25.4
2024-06-27T19:30:00,20240627193000,0.327,25.1
2024-06-27T19:40:00,20240627194000,0.183,24.7
2024-06-27T19:50:00,20240627195000,0.227,24.0
2024-06-27T20:00:00,20240627200000,0.176,23.8
2024-06-27T20:10:00,20240627201000,0.196,22.6
2024-06-27T20:20:00,20240627202000,0.245,22.4
2024-06-27T20:30:00,20240627203000,0.13,22.2
2024-06-27T20:40:00,20240627204000,0.0313,21.9
2024-06-27T20:50:00,20240627205000,0.297,21.4
2024-06-27T21:00:00,20240627210000,0.191,21.2
2024-06-27T21:10:00,20240627211000,0.132,21.8
2024-06-27T21:20:00,20240627212000,0.215,21.8
2024-06-27T21:30:00,20240627213000,0.229,21.7
2024-06-27T21:40:00,20240627214000,0.063,21.2
2024-06-27T21:50:00,20240627215000,0.0762,21.1
2024-06-27T22:00:00,20240627220000,0.204,21.0
2024-06-27T22:10:00,20240627221000,0.153,20.6
2024-06-27T22:20:00,20240627222000,0.214,20.6
2024-06-27T22:30:00,20240627223000,0.185,20.6
2024-06-27T22:40:00,20240627224000,0.213,20.4
2024-06-27T22:50:00,20240627225000,0.194,20.5
2024-06-27T23:00:00,20240627230000,0.153,19.9
2024-06-27T23:10:00,20240627231000,0.359,19.7
2024-06-27T23:20:00,20240627232000,0.0862,19.6
2024-06-27T23:30:00,20240627233000,0.153,19.7
2024-06-27T23:40:00,20240627234000,0.235,20.0
2024-06-27T23:50:00,20240627235000,0.249,19.4
2024-06-28T00:00:00,20240628000000,0.202,19.5
2024-06-28T00:10:00,20240628001000,0.167,19.2
2024-06-28T00:20:00,20240628002000,0.215,19.1
2024-06-28T00:30:00,20240628003000,0.15,19.1
2024-06-28T00:40:00,20240628004000,0.174,19.3
2024-06-28T00:50:00,20240628005000,0.123,19.4
2024-06-28T01:00:00,20240628010000,0.169,19.4
2024-06-28T01:10:00,20240628011000,0.122,19.6
2024-06-28T01:20:00,20240628012000,0.102,19.3
2024-06-28T01:30:00,20240628013000,0.237,19.3
2024-06-28T01:40:00,20240628014000,0.202,19.4
2024-06-28T01:50:00,20240628015000,0.2,19.2
2024-06-28T02:00:00,20240628020000,0.271,19.3
2024-06-28T02:10:00,20240628021000,0.0561,18.8
2024-06-28T02:20:00,20240628022000,0.142,18.8
2024-06-28T02:30:00,20240628023000,0.118,18.7
2024-06-28T02:40:00,20240628024000,0.195,18.9
2024-06-28T02:50:00,20240628025000,0.165,18.9
2024-06-28T03:00:00,20240628030000,0.0955,18.9
2024-06-28T03:10:00,20240628031000,0.117,19.0
2024-06-28T03:20:00,20240628032000,0.17,19.7
2024-06-28T03:30:00,20240628033000,0.124,21.0
2024-06-28T03:40:00,20240628034000,0.199,21.3
2024-06-28T03:50:00,20240628035000,0.108,22.1
2024-06-28T04:00:00,20240628040000,0.117,22.1
2024-06-28T04:10:00,20240628041000,0.292,22.3
2024-06-28T04:20:00,20240628042000,0.275,22.6
2024-06-28T04:30:00,20240628043000,0.215,23.0
2024-06-28T04:40:00,20240628044000,0.3,23.2
2024-06-28T04:50:00,20240628045000,0.189,22.9
2024-06-28T05:00:00,20240628050000,0.306,23.8
2024-06-28T05:10:00,20240628051000,0.298,23.7
2024-06-28T05:20:00,20240628052000,0.328,24.4
2024-06-28T05:30:00,20240628053000,0.259,24.2
2024-06-28T05:40:00,20240628054000,0.308,25.0
2024-06-28T05:50:00,20240628055000,0.277,24.8
2024-06-28T06:00:00,20240628060000,0.287,26.4
2024-06-28T06:10:00,20240628061000,0.354,27.5
2024-06-28T06:20:00,20240628062000,0.236,28.1
2024-06-28T06:30:00,20240628063000,0.213,29.3
2024-06-28T06:40:00,20240628064000,0.282,30.9
2024-06-28T06:50:00,20240628065000,0.269,30.6
2024-06-28T07:00:00,20240628070000,0.324,32.4
2024-06-28T07:10:00,20240628071000,0.269,33.0
2024-06-28T07:20:00,20240628072000,0.252,33.8
2024-06-28T07:30:00,20240628073000,0.226,34.6
2024-06-28T07:40:00,20240628074000,0.363,36.6
2024-06-28T07:50:00,20240628075000,0.282,37.8
2024-06-28T08:00:00,20240628080000,0.36,39.2
2024-06-28T08:10:00,20240628081000,0.341,40.7
2024-06-28T08:20:00,20240628082000,0.241,41.4
2024-06-28T08:30:00,20240628083000,0.296,42.3
2024-06-28T08:40:00,20240628084000,0.321,42.8
2024-06-28T08:50:00,20240628085000,0.349,43.1
2024-06-28T09:00:00,20240628090000,0.258,43.9
2024-06-28T09:10:00,20240628091000,0.3,44.4
2024-06-28T09:20:00,20240628092000,0.381,44.4
2024-06-28T09:30:00,20240628093000,0.242,46.0
2024-06-28T09:40:00,20240628094000,0.296,45.2
2024-06-28T09:50:00,20240628095000,0.269,47.8
2024-06-28T10:00:00,20240628100000,0.501,49.0
2024-06-28T10:10:00,20240628101000,0.402,49.1
2024-06-28T10:20:00,20240628102000,0.384,48.2
2024-06-28T10:30:00,20240628103000,0.271,50.6
2024-06-28T10:40:00,20240628104000,0.317,52.1
2024-06-28T10:50:00,20240628105000,0.427,50.9
2024-06-28T11:00:00,20240628110000,0.528,49.4
2024-06-28T11:10:00,20240628111000,0.473,48.0
2024-06-28T11:20:00,20240628112000,0.366,47.3
