Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f
2024-06-27T11:00:00,20240627110000,948.0
2024-06-27T11:10:00,20240627111000,961.0
2024-06-27T11:20:00,20240627112000,969.0
2024-06-27T11:30:00,20240627113000,971.0
2024-06-27T11:40:00,20240627114000,973.0
2024-06-27T11:50:00,20240627115000,975.0
2024-06-27T12:00:00,20240627120000,972.0
2024-06-27T12:10:00,20240627121000,969.0
2024-06-27T12:20:00,20240627122000,963.0
2024-06-27T12:30:00,20240627123000,956.0
2024-06-27T12:40:00,20240627124000,949.0
2024-06-27T12:50:00,20240627125000,936.0
2024-06-27T13:00:00,20240627130000,931.0
2024-06-27T13:10:00,20240627131000,916.0
2024-06-27T13:20:00,20240627132000,887.0
2024-06-27T13:30:00,20240627133000,894.0
2024-06-27T13:40:00,20240627134000,867.0
2024-06-27T13:50:00,20240627135000,832.0
2024-06-27T14:00:00,20240627140000,779.0
2024-06-27T14:10:00,20240627141000,769.0
2024-06-27T14:20:00,20240627142000,766.0
2024-06-27T14:30:00,20240627143000,751.0
2024-06-27T14:40:00,20240627144000,697.0
2024-06-27T14:50:00,20240627145000,662.0
2024-06-27T15:00:00,20240627150000,656.0
2024-06-27T15:10:00,20240627151000,602.0
2024-06-27T15:20:00,20240627152000,567.0
2024-06-27T15:30:00,20240627153000,541.0
2024-06-27T15:40:00,20240627154000,500.0
2024-06-27T15:50:00,20240627155000,476.0
2024-06-27T16:00:00,20240627160000,443.0
2024-06-27T16:10:00,20240627161000,420.0
2024-06-27T16:20:00,20240627162000,311.0
2024-06-27T16:30:00,20240627163000,224.0
2024-06-27T16:40:00,20240627164000,228.0
2024-06-27T16:50:00,20240627165000,274.0
2024-06-27T17:00:00,20240627170000,322.0
2024-06-27T17:10:00,20240627171000,298.0
2024-06-27T17:20:00,20240627172000,228.0
2024-06-27T17:30:00,20240627173000,166.0
2024-06-27T17:40:00,20240627174000,111.0
2024-06-27T17:50:00,20240627175000,84.3
2024-06-27T18:00:00,20240627180000,89.0
2024-06-27T18:10:00,20240627181000,101.0
2024-06-27T18:20:00,20240627182000,86.0
2024-06-27T18:30:00,20240627183000,60.4
2024-06-27T18:40:00,20240627184000,43.7
2024-06-27T18:50:00,20240627185000,31.9
2024-06-27T19:00:00,20240627190000,28.4
2024-06-27T19:10:00,20240627191000,27.3
2024-06-27T19:20:00,20240627192000,31.5
2024-06-27T19:30:00,20240627193000,20.6
2024-06-27T19:40:00,20240627194000,1.03
2024-06-27T19:50:00,20240627195000,-0.608
2024-06-27T20:00:00,20240627200000,-0.673
2024-06-27T20:10:00,20240627201000,-0.635
2024-06-27T20:20:00,20240627202000,-0.603
2024-06-27T20:30:00,20240627203000,-0.69
2024-06-27T20:40:00,20240627204000,-0.585
2024-06-27T20:50:00,20240627205000,-0.614
2024-06-27T21:00:00,20240627210000,-0.608
2024-06-27T21:10:00,20240627211000,-0.666
2024-06-27T21:20:00,20240627212000,-0.584
2024-06-27T21:30:00,20240627213000,-0.703
2024-06-27T21:40:00,20240627214000,-0.647
2024-06-27T21:50:00,20240627215000,-0.618
2024-06-27T22:00:00,20240627220000,-0.756
2024-06-27T22:10:00,20240627221000,-0.566
2024-06-27T22:20:00,20240627222000,-0.613
2024-06-27T22:30:00,20240627223000,-0.595
2024-06-27T22:40:00,20240627224000,-0.53
2024-06-27T22:50:00,20240627225000,-0.606
2024-06-27T23:00:00,20240627230000,-0.642
2024-06-27T23:10:00,20240627231000,-0.61
2024-06-27T23:20:00,20240627232000,-0.645
2024-06-27T23:30:00,20240627233000,-0.607
2024-06-27T23:40:00,20240627234000,-0.544
2024-06-27T23:50:00,20240627235000,-0.567
2024-06-28T00:00:00,20240628000000,-0.571
2024-06-28T00:10:00,20240628001000,-0.567
2024-06-28T00:20:00,20240628002000,-0.581
2024-06-28T00:30:00,20240628003000,-0.54
2024-06-28T00:40:00,20240628004000,-0.664
2024-06-28T00:50:00,20240628005000,-0.609
2024-06-28T01:00:00,20240628010000,-0.526
2024-06-28T01:10:00,20240628011000,-0.557
2024-06-28T01:20:00,20240628012000,-0.601
2024-06-28T01:30:00,20240628013000,-0.583
2024-06-28T01:40:00,20240628014000,-0.565
2024-06-28T01:50:00,20240628015000,-0.581
2024-06-28T02:00:00,20240628020000,-0.584
2024-06-28T02:10:00,20240628021000,-0.527
2024-06-28T02:20:00,20240628022000,-0.517
2024-06-28T02:30:00,20240628023000,-0.495
2024-06-28T02:40:00,20240628024000,-0.516
2024-06-28T02:50:00,20240628025000,-0.531
2024-06-28T03:00:00,20240628030000,-0.54
2024-06-28T03:10:00,20240628031000,-0.532
2024-06-28T03:20:00,20240628032000,-0.152
2024-06-28T03:30:00,20240628033000,-0.499
2024-06-28T03:40:00,20240628034000,-0.608
2024-06-28T03:50:00,20240628035000,-0.639
2024-06-28T04:00:00,20240628040000,-0.549
2024-06-28T04:10:00,20240628041000,-0.224
2024-06-28T04:20:00,20240628042000,2.79
2024-06-28T04:30:00,20240628043000,9.15
2024-06-28T04:40:00,20240628044000,18.9
2024-06-28T04:50:00,20240628045000,32.8
2024-06-28T05:00:00,20240628050000,44.2
2024-06-28T05:10:00,20240628051000,52.6
2024-06-28T05:20:00,20240628052000,58.6
2024-06-28T05:30:00,20240628053000,55.0
2024-06-28T05:40:00,20240628054000,73.4
2024-06-28T05:50:00,20240628055000,104.0
2024-06-28T06:00:00,20240628060000,147.0
2024-06-28T06:10:00,20240628061000,167.0
2024-06-28T06:20:00,20240628062000,164.0
2024-06-28T06:30:00,20240628063000,209.0
2024-06-28T06:40:00,20240628064000,239.0
2024-06-28T06:50:00,20240628065000,276.0
2024-06-28T07:00:00,20240628070000,305.0
2024-06-28T07:10:00,20240628071000,344.0
2024-06-28T07:20:00,20240628072000,379.0
2024-06-28T07:30:00,20240628073000,417.0
2024-06-28T07:40:00,20240628074000,459.0
2024-06-28T07:50:00,20240628075000,499.0
2024-06-28T08:00:00,20240628080000,534.0
2024-06-28T08:10:00,20240628081000,570.0
2024-06-28T08:20:00,20240628082000,608.0
2024-06-28T08:30:00,20240628083000,644.0
2024-06-28T08:40:00,20240628084000,673.0
2024-06-28T08:50:00,20240628085000,695.0
2024-06-28T09:00:00,20240628090000,733.0
2024-06-28T09:10:00,20240628091000,766.0
2024-06-28T09:20:00,20240628092000,796.0
2024-06-28T09:30:00,20240628093000,815.0
2024-06-28T09:40:00,20240628094000,834.0
2024-06-28T09:50:00,20240628095000,856.0
2024-06-28T10:00:00,20240628100000,881.0
2024-06-28T10:10:00,20240628101000,895.0
2024-06-28T10:20:00,20240628102000,918.0
2024-06-28T10:30:00,20240628103000,927.0
2024-06-28T10:40:00,20240628104000,940.0
2024-06-28T10:50:00,20240628105000,945.0
2024-06-28T11:00:00,20240628110000,959.0
2024-06-28T11:10:00,20240628111000,968.0
2024-06-28T11:20:00,20240628112000,976.0
2024-06-28T11:30:00,20240628113000,975.0
2024-06-28T11:40:00,20240628114000,971.0
2024-06-28T11:50:00,20240628115000,965.0
2024-06-28T12:00:00,20240628120000,966.0
2024-06-28T12:10:00,20240628121000,971.0
2024-06-28T12:20:00,20240628122000,971.0
2024-06-28T12:30:00,20240628123000,927.0
2024-06-28T12:40:00,20240628124000,888.0
2024-06-28T12:50:00,20240628125000,887.0
2024-06-28T13:00:00,20240628130000,882.0
2024-06-28T13:10:00,20240628131000,850.0
2024-06-28T13:20:00,20240628132000,857.0
2024-06-28T13:30:00,20240628133000,821.0
2024-06-28T13:40:00,20240628134000,809.0
2024-06-28T13:50:00,20240628135000,793.0
2024-06-28T14:00:00,20240628140000,781.0
2024-06-28T14:10:00,20240628141000,775.0
2024-06-28T14:20:00,20240628142000,746.0
2024-06-28T14:30:00,20240628143000,727.0
2024-06-28T14:40:00,20240628144000,695.0
2024-06-28T14:50:00,20240628145000,666.0
2024-06-28T15:00:00,20240628150000,643.0
2024-06-28T15:10:00,20240628151000,613.0
2024-06-28T15:20:00,20240628152000,565.0
2024-06-28T15:30:00,20240628153000,534.0
2024-06-28T15:40:00,20240628154000,507.0
2024-06-28T15:50:00,20240628155000,466.0
2024-06-28T16:00:00,20240628160000,425.0
2024-06-28T16:10:00,20240628161000,389.0
2024-06-28T16:20:00,20240628162000,351.0
2024-06-28T16:30:00,20240628163000,351.0
2024-06-28T16:40:00,20240628164000,330.0
2024-06-28T16:50:00,20240628165000,297.0
2024-06-28T17:00:00,20240628170000,267.0
2024-06-28T17:10:00,20240628171000,237.0
2024-06-28T17:20:00,20240628172000,205.0
2024-06-28T17:30:00,20240628173000,151.0
2024-06-28T17:40:00,20240628174000,120.0
2024-06-28T17:50:00,20240628175000,118.0
2024-06-28T18:00:00,20240628180000,110.0
2024-06-28T18:10:00,20240628181000,94.7
2024-06-28T18:20:00,20240628182000,79.7
2024-06-28T18:30:00,20240628183000,67.5
2024-06-28T18:40:00,20240628184000,58.6
2024-06-28T18:50:00,20240628185000,44.1
2024-06-28T19:00:00,20240628190000,27.6
2024-06-28T19:10:00,20240628191000,15.3
2024-06-28T19:20:00,20240628192000,8.49
2024-06-28T19:30:00,20240628193000,2.68
2024-06-28T19:40:00,20240628194000,-0.376
2024-06-28T19:50:00,20240628195000,-0.606
