Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,29.7
2024-06-26T15:40:00,20240626154000,29.3
2024-06-26T15:50:00,20240626155000,28.1
2024-06-26T16:00:00,20240626160000,25.5
2024-06-26T16:10:00,20240626161000,23.9
2024-06-26T16:20:00,20240626162000,21.9
2024-06-26T16:30:00,20240626163000,19.4
2024-06-26T16:40:00,20240626164000,17.9
2024-06-26T16:50:00,20240626165000,16.1
2024-06-26T17:00:00,20240626170000,14.0
2024-06-26T17:10:00,20240626171000,11.9
2024-06-26T17:20:00,20240626172000,9.97
2024-06-26T17:30:00,20240626173000,8.44
2024-06-26T17:40:00,20240626174000,6.96
2024-06-26T17:50:00,20240626175000,5.48
2024-06-26T18:00:00,20240626180000,4.17
2024-06-26T18:10:00,20240626181000,2.88
2024-06-26T18:20:00,20240626182000,2.13
2024-06-26T18:30:00,20240626183000,1.61
2024-06-26T18:40:00,20240626184000,0.932
2024-06-26T18:50:00,20240626185000,0.417
2024-06-26T19:00:00,20240626190000,0.247
2024-06-26T19:10:00,20240626191000,0.0882
2024-06-26T19:20:00,20240626192000,-0.0149
2024-06-26T19:30:00,20240626193000,-0.0213
2024-06-26T19:40:00,20240626194000,-0.026
2024-06-26T19:50:00,20240626195000,-0.0307
2024-06-26T20:00:00,20240626200000,-0.0354
2024-06-26T20:10:00,20240626201000,-0.0401
2024-06-26T20:20:00,20240626202000,-0.0448
2024-06-26T20:30:00,20240626203000,-0.0495
2024-06-26T20:40:00,20240626204000,-0.0542
2024-06-26T20:50:00,20240626205000,-0.0589
2024-06-26T21:00:00,20240626210000,-0.0636
2024-06-26T21:10:00,20240626211000,-0.0683
2024-06-26T21:20:00,20240626212000,-0.0729
2024-06-26T21:30:00,20240626213000,-0.0776
2024-06-26T21:40:00,20240626214000,-0.0823
2024-06-26T21:50:00,20240626215000,-0.087
2024-06-26T22:00:00,20240626220000,-0.0917
2024-06-26T22:10:00,20240626221000,-0.0964
2024-06-26T22:20:00,20240626222000,-0.101
2024-06-26T22:30:00,20240626223000,-0.106
2024-06-26T22:40:00,20240626224000,-0.11
2024-06-26T22:50:00,20240626225000,-0.133
2024-06-26T23:00:00,20240626230000,-0.192
2024-06-26T23:10:00,20240626231000,-0.252
2024-06-26T23:20:00,20240626232000,-0.291
2024-06-26T23:30:00,20240626233000,-0.283
2024-06-26T23:40:00,20240626234000,-0.275
2024-06-26T23:50:00,20240626235000,-0.266
2024-06-27T00:00:00,20240627000000,-0.258
2024-06-27T00:10:00,20240627001000,-0.249
2024-06-27T00:20:00,20240627002000,-0.241
2024-06-27T00:30:00,20240627003000,-0.232
2024-06-27T00:40:00,20240627004000,-0.224
2024-06-27T00:50:00,20240627005000,-0.216
2024-06-27T01:00:00,20240627010000,-0.207
2024-06-27T01:10:00,20240627011000,-0.0132
2024-06-27T01:20:00,20240627012000,0.0117
2024-06-27T01:30:00,20240627013000,0.0366
2024-06-27T01:40:00,20240627014000,0.0615
2024-06-27T01:50:00,20240627015000,0.0864
2024-06-27T02:00:00,20240627020000,0.111
2024-06-27T02:10:00,20240627021000,0.136
2024-06-27T02:20:00,20240627022000,0.161
2024-06-27T02:30:00,20240627023000,0.186
2024-06-27T02:40:00,20240627024000,0.211
2024-06-27T02:50:00,20240627025000,0.236
2024-06-27T03:00:00,20240627030000,0.261
2024-06-27T03:10:00,20240627031000,0.285
2024-06-27T03:20:00,20240627032000,0.31
2024-06-27T03:30:00,20240627033000,0.335
2024-06-27T03:40:00,20240627034000,0.36
2024-06-27T03:50:00,20240627035000,0.385
2024-06-27T04:00:00,20240627040000,0.41
2024-06-27T04:10:00,20240627041000,0.435
2024-06-27T04:20:00,20240627042000,0.46
2024-06-27T04:30:00,20240627043000,0.485
2024-06-27T04:40:00,20240627044000,0.509
2024-06-27T04:50:00,20240627045000,0.534
2024-06-27T05:00:00,20240627050000,0.453
2024-06-27T05:10:00,20240627051000,0.602
2024-06-27T05:20:00,20240627052000,2.12
2024-06-27T05:30:00,20240627053000,2.98
2024-06-27T05:40:00,20240627054000,3.84
2024-06-27T05:50:00,20240627055000,4.7
2024-06-27T06:00:00,20240627060000,5.56
2024-06-27T06:10:00,20240627061000,6.41
2024-06-27T06:20:00,20240627062000,7.27
2024-06-27T06:30:00,20240627063000,8.26
2024-06-27T06:40:00,20240627064000,9.88
2024-06-27T06:50:00,20240627065000,11.6
2024-06-27T07:00:00,20240627070000,14.0
2024-06-27T07:10:00,20240627071000,15.6
2024-06-27T07:20:00,20240627072000,17.8
2024-06-27T07:30:00,20240627073000,20.9
2024-06-27T07:40:00,20240627074000,22.7
2024-06-27T07:50:00,20240627075000,24.6
2024-06-27T08:00:00,20240627080000,25.1
2024-06-27T08:10:00,20240627081000,26.8
2024-06-27T08:20:00,20240627082000,28.8
2024-06-27T08:30:00,20240627083000,30.2
2024-06-27T08:40:00,20240627084000,34.0
2024-06-27T08:50:00,20240627085000,34.1
2024-06-27T09:00:00,20240627090000,35.0
2024-06-27T09:10:00,20240627091000,37.7
2024-06-27T09:20:00,20240627092000,39.4
2024-06-27T09:30:00,20240627093000,40.4
2024-06-27T09:40:00,20240627094000,41.1
2024-06-27T09:50:00,20240627095000,41.7
2024-06-27T10:00:00,20240627100000,41.2
2024-06-27T10:10:00,20240627101000,43.7
2024-06-27T10:20:00,20240627102000,46.1
2024-06-27T10:30:00,20240627103000,47.0
2024-06-27T10:40:00,20240627104000,47.7
2024-06-27T10:50:00,20240627105000,47.7
2024-06-27T11:00:00,20240627110000,48.6
2024-06-27T11:10:00,20240627111000,48.9
2024-06-27T11:20:00,20240627112000,49.6
2024-06-27T11:30:00,20240627113000,50.9
2024-06-27T11:40:00,20240627114000,50.6
2024-06-27T11:50:00,20240627115000,49.0
2024-06-27T12:00:00,20240627120000,50.9
2024-06-27T12:10:00,20240627121000,48.7
2024-06-27T12:20:00,20240627122000,50.0
2024-06-27T12:30:00,20240627123000,49.3
2024-06-27T12:40:00,20240627124000,48.1
2024-06-27T12:50:00,20240627125000,48.3
2024-06-27T13:00:00,20240627130000,48.8
2024-06-27T13:10:00,20240627131000,50.2
2024-06-27T13:20:00,20240627132000,46.7
2024-06-27T13:30:00,20240627133000,47.4
2024-06-27T13:40:00,20240627134000,43.7
2024-06-27T13:50:00,20240627135000,42.1
2024-06-27T14:00:00,20240627140000,40.9
2024-06-27T14:10:00,20240627141000,38.2
2024-06-27T14:20:00,20240627142000,39.2
2024-06-27T14:30:00,20240627143000,38.9
2024-06-27T14:40:00,20240627144000,35.3
2024-06-27T14:50:00,20240627145000,35.1
2024-06-27T15:00:00,20240627150000,34.9
2024-06-27T15:10:00,20240627151000,33.5
