Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,35.0,3.26,308.0,584.0,185171,177763
2024-06-26T15:40:00,20240626154000,34.8,3.25,291.0,583.0,175057,167914
2024-06-26T15:50:00,20240626155000,34.7,3.23,270.0,587.0,165219,158305
2024-06-26T16:00:00,20240626160000,34.6,3.22,252.0,591.0,155465,148781
2024-06-26T16:10:00,20240626161000,34.4,3.21,228.0,593.0,142482,136150
2024-06-26T16:20:00,20240626162000,34.3,3.19,209.0,601.0,133566,127499
2024-06-26T16:30:00,20240626163000,34.1,3.18,185.0,599.0,120278,114639
2024-06-26T16:40:00,20240626164000,34.0,3.17,164.0,597.0,106755,101590
2024-06-26T16:50:00,20240626165000,33.9,3.15,148.0,599.0,98261,93415
2024-06-26T17:00:00,20240626170000,33.7,3.14,132.0,601.0,89077,84414
2024-06-26T17:10:00,20240626171000,33.6,3.13,114.0,602.0,79253,74514
2024-06-26T17:20:00,20240626172000,33.4,3.11,96.1,607.0,69706,65031
2024-06-26T17:30:00,20240626173000,33.3,3.1,82.5,591.0,60380,55914
2024-06-26T17:40:00,20240626174000,33.2,3.09,65.5,589.0,50317,46224
2024-06-26T17:50:00,20240626175000,33.0,3.07,51.4,578.0,41496,37852
2024-06-26T18:00:00,20240626180000,32.9,3.06,38.9,578.0,34527,30993
2024-06-26T18:10:00,20240626181000,32.7,3.05,30.0,570.0,29333,25854
2024-06-26T18:20:00,20240626182000,32.6,3.03,22.3,565.0,24507,21248
2024-06-26T18:30:00,20240626183000,32.5,3.02,15.2,555.0,20100,17166
2024-06-26T18:40:00,20240626184000,32.3,3.0,10.1,551.0,17132,14487
2024-06-26T18:50:00,20240626185000,32.3,2.98,2.76,561.0,7640,6387
2024-06-26T19:00:00,20240626190000,32.2,2.96,0.0,564.0,1145,951
2024-06-26T19:10:00,20240626191000,32.1,2.94,0.0,501.0,0,0
2024-06-26T19:20:00,20240626192000,32.0,2.94,0.0,392.0,0,0
2024-06-26T19:30:00,20240626193000,31.9,2.93,0.0,254.0,0,0
2024-06-26T19:40:00,20240626194000,31.9,2.93,0.0,129.0,0,0
2024-06-26T19:50:00,20240626195000,31.8,2.92,0.0,47.0,0,0
2024-06-26T20:00:00,20240626200000,31.7,2.92,0.0,13.7,0,0
2024-06-26T20:10:00,20240626201000,31.6,2.91,0.0,4.55,0,0
2024-06-26T20:20:00,20240626202000,31.5,2.91,0.0,2.21,0,0
2024-06-26T20:30:00,20240626203000,31.4,2.9,0.0,2.21,0,0
2024-06-26T20:40:00,20240626204000,31.3,2.9,0.0,2.14,0,0
2024-06-26T20:50:00,20240626205000,31.2,2.9,0.0,1.88,0,0
2024-06-26T21:00:00,20240626210000,31.1,2.89,0.0,1.88,0,0
2024-06-26T21:10:00,20240626211000,31.1,2.89,0.0,2.02,0,0
2024-06-26T21:20:00,20240626212000,31.0,2.88,0.0,2.57,0,0
2024-06-26T21:30:00,20240626213000,30.9,2.88,0.0,2.57,0,0
2024-06-26T21:40:00,20240626214000,30.8,2.87,0.0,2.4,0,0
2024-06-26T21:50:00,20240626215000,30.7,2.87,0.0,1.71,0,0
2024-06-26T22:00:00,20240626220000,30.6,2.86,0.0,1.71,0,0
2024-06-26T22:10:00,20240626221000,30.5,2.86,0.0,1.83,0,0
2024-06-26T22:20:00,20240626222000,30.4,2.85,0.0,2.31,0,0
2024-06-26T22:30:00,20240626223000,30.4,2.85,0.0,2.31,0,0
2024-06-26T22:40:00,20240626224000,30.3,2.85,0.0,2.35,0,0
2024-06-26T22:50:00,20240626225000,30.2,2.84,0.0,2.54,0,0
2024-06-26T23:00:00,20240626230000,30.2,2.84,0.0,2.54,0,0
2024-06-26T23:10:00,20240626231000,30.1,2.84,0.0,2.58,0,0
2024-06-26T23:20:00,20240626232000,30.1,2.84,0.0,2.73,0,0
2024-06-26T23:30:00,20240626233000,30.0,2.84,0.0,2.73,0,0
2024-06-26T23:40:00,20240626234000,30.0,2.84,0.0,2.67,0,0
2024-06-26T23:50:00,20240626235000,30.0,2.84,0.0,2.11,0,0
2024-06-27T00:00:00,20240627000000,30.0,2.84,0.0,2.11,0,0
2024-06-27T00:10:00,20240627001000,30.0,2.84,0.0,2.17,0,0
2024-06-27T00:20:00,20240627002000,29.9,2.84,0.0,2.73,0,0
2024-06-27T00:30:00,20240627003000,29.9,2.84,0.0,2.73,0,0
2024-06-27T00:40:00,20240627004000,29.7,2.84,0.0,2.72,0,0
2024-06-27T00:50:00,20240627005000,29.7,2.84,0.0,2.57,0,0
2024-06-27T01:00:00,20240627010000,29.7,2.84,0.0,2.57,0,0
2024-06-27T01:10:00,20240627011000,29.6,2.84,0.0,2.56,0,0
2024-06-27T01:20:00,20240627012000,29.6,2.84,0.0,2.44,0,0
2024-06-27T01:30:00,20240627013000,29.5,2.84,0.0,2.44,0,0
2024-06-27T01:40:00,20240627014000,29.6,2.9,0.0,2.38,0,0
2024-06-27T01:50:00,20240627015000,29.6,2.91,0.0,1.88,0,0
2024-06-27T02:00:00,20240627020000,29.5,2.91,0.0,1.88,0,0
2024-06-27T02:10:00,20240627021000,29.5,2.92,0.0,1.97,0,0
2024-06-27T02:20:00,20240627022000,29.4,2.92,0.0,2.77,0,0
2024-06-27T02:30:00,20240627023000,29.4,2.93,0.0,2.77,0,0
2024-06-27T02:40:00,20240627024000,29.7,2.99,0.0,2.72,0,0
2024-06-27T02:50:00,20240627025000,29.7,3.0,0.0,2.31,0,0
2024-06-27T03:00:00,20240627030000,29.7,3.01,0.0,2.31,0,0
2024-06-27T03:10:00,20240627031000,29.6,3.02,0.0,2.26,0,0
2024-06-27T03:20:00,20240627032000,29.6,3.02,0.0,1.81,0,0
2024-06-27T03:30:00,20240627033000,29.6,3.03,0.0,1.81,0,0
2024-06-27T03:40:00,20240627034000,29.6,3.03,0.0,2.38,0,0
2024-06-27T03:50:00,20240627035000,29.6,3.03,0.0,7.88,0,0
2024-06-27T04:00:00,20240627040000,29.6,3.04,0.0,30.8,0,0
2024-06-27T04:10:00,20240627041000,29.6,3.05,0.0,99.9,0,0
2024-06-27T04:20:00,20240627042000,29.6,3.05,0.0,217.0,0,0
2024-06-27T04:30:00,20240627043000,29.5,3.06,0.0,329.0,0,0
2024-06-27T04:40:00,20240627044000,29.5,3.07,0.0,458.0,0,0
2024-06-27T04:50:00,20240627045000,29.5,3.07,1.21,552.0,1706,1419
2024-06-27T05:00:00,20240627050000,29.5,3.08,8.26,545.0,15763,13272
2024-06-27T05:10:00,20240627051000,29.5,3.09,13.7,560.0,19291,16430
2024-06-27T05:20:00,20240627052000,29.5,3.09,18.7,565.0,22177,19072
2024-06-27T05:30:00,20240627053000,29.4,3.1,23.1,570.0,25132,21832
2024-06-27T05:40:00,20240627054000,29.4,3.11,29.8,581.0,29493,26009
2024-06-27T05:50:00,20240627055000,29.4,3.11,37.4,589.0,34109,30569
2024-06-27T06:00:00,20240627060000,29.4,3.12,46.8,590.0,39357,35806
2024-06-27T06:10:00,20240627061000,29.4,3.13,55.7,604.0,45468,41608
2024-06-27T06:20:00,20240627062000,29.4,3.13,69.4,603.0,53534,49303
2024-06-27T06:30:00,20240627063000,29.4,3.14,82.8,609.0,61760,57252
2024-06-27T06:40:00,20240627064000,29.6,3.15,101.0,600.0,71607,66908
2024-06-27T06:50:00,20240627065000,29.7,3.15,117.0,604.0,81008,76270
2024-06-27T07:00:00,20240627070000,29.9,3.16,134.0,605.0,90971,86301
2024-06-27T07:10:00,20240627071000,30.1,3.16,151.0,606.0,101678,96712
2024-06-27T07:20:00,20240627072000,30.3,3.17,172.0,603.0,112940,107553
2024-06-27T07:30:00,20240627073000,30.4,3.17,191.0,600.0,123728,117973
2024-06-27T07:40:00,20240627074000,30.6,3.17,209.0,600.0,134165,128080
2024-06-27T07:50:00,20240627075000,30.8,3.18,230.0,599.0,145407,138994
2024-06-27T08:00:00,20240627080000,30.9,3.18,253.0,592.0,156908,150187
2024-06-27T08:10:00,20240627081000,31.1,3.18,271.0,588.0,166296,159348
2024-06-27T08:20:00,20240627082000,31.3,3.19,289.0,588.0,175175,168030
2024-06-27T08:30:00,20240627083000,31.5,3.19,299.0,583.0,180209,172932
2024-06-27T08:40:00,20240627084000,31.8,3.19,321.0,583.0,192121,184436
2024-06-27T08:50:00,20240627085000,32.0,3.19,337.0,578.0,199159,191193
2024-06-27T09:00:00,20240627090000,32.2,3.2,353.0,574.0,206316,198064
2024-06-27T09:10:00,20240627091000,32.3,3.2,366.0,574.0,214009,205448
2024-06-27T09:20:00,20240627092000,32.5,3.2,376.0,573.0,218891,210136
2024-06-27T09:30:00,20240627093000,32.7,3.2,388.0,566.0,224478,215499
2024-06-27T09:40:00,20240627094000,32.7,3.2,404.0,567.0,231235,221986
2024-06-27T09:50:00,20240627095000,32.9,3.2,417.0,566.0,238278,228746
2024-06-27T10:00:00,20240627100000,33.0,3.2,425.0,568.0,242775,233064
2024-06-27T10:10:00,20240627101000,33.2,3.21,438.0,557.0,247143,237257
2024-06-27T10:20:00,20240627102000,33.4,3.21,449.0,560.0,252307,242214
2024-06-27T10:30:00,20240627103000,33.6,3.21,458.0,559.0,257492,247192
2024-06-27T10:40:00,20240627104000,33.4,3.21,464.0,558.0,260058,249656
2024-06-27T10:50:00,20240627105000,33.6,3.21,472.0,557.0,262650,252144
2024-06-27T11:00:00,20240627110000,33.7,3.21,472.0,557.0,265368,254754
2024-06-27T11:10:00,20240627111000,33.9,3.21,485.0,557.0,269888,259093
2024-06-27T11:20:00,20240627112000,34.1,3.21,491.0,557.0,272447,261549
2024-06-27T11:30:00,20240627113000,34.2,3.22,487.0,559.0,273736,262778
2024-06-27T11:40:00,20240627114000,34.4,3.22,493.0,558.0,274445,263438
2024-06-27T11:50:00,20240627115000,34.5,3.22,493.0,556.0,274881,263843
2024-06-27T12:00:00,20240627120000,34.7,3.22,494.0,554.0,273605,262655
2024-06-27T12:10:00,20240627121000,34.9,3.22,495.0,553.0,273254,262322
2024-06-27T12:20:00,20240627122000,35.0,3.23,491.0,556.0,272365,261470
2024-06-27T12:30:00,20240627123000,35.2,3.23,486.0,560.0,271662,260796
2024-06-27T12:40:00,20240627124000,35.4,3.23,485.0,560.0,271789,260918
2024-06-27T12:50:00,20240627125000,35.5,3.23,474.0,567.0,268812,258060
2024-06-27T13:00:00,20240627130000,35.7,3.24,478.0,558.0,268573,257830
2024-06-27T13:10:00,20240627131000,35.8,3.24,474.0,551.0,264657,254070
2024-06-27T13:20:00,20240627132000,36.0,3.24,464.0,556.0,256378,246123
2024-06-27T13:30:00,20240627133000,36.2,3.24,456.0,567.0,259826,249433
2024-06-27T13:40:00,20240627134000,36.3,3.24,449.0,566.0,254796,244604
2024-06-27T13:50:00,20240627135000,36.5,3.25,419.0,579.0,244672,234885
2024-06-27T14:00:00,20240627140000,36.6,3.25,405.0,568.0,232268,222998
2024-06-27T14:10:00,20240627141000,36.7,3.25,376.0,594.0,226140,217124
2024-06-27T14:20:00,20240627142000,36.5,3.25,388.0,578.0,228484,219345
2024-06-27T14:30:00,20240627143000,36.4,3.25,386.0,574.0,225047,216046
2024-06-27T14:40:00,20240627144000,36.3,3.24,362.0,577.0,212440,203942
2024-06-27T14:50:00,20240627145000,36.2,3.23,331.0,589.0,199590,191599
2024-06-27T15:00:00,20240627150000,36.1,3.22,338.0,581.0,200171,192164
2024-06-27T15:10:00,20240627151000,35.9,3.21,306.0,588.0,185320,177901
2024-06-27T15:20:00,20240627152000,35.8,3.2,293.0,577.0,174295,167169
2024-06-27T15:30:00,20240627153000,35.7,3.19,282.0,570.0,167597,160618
2024-06-27T15:40:00,20240627154000,35.6,3.18,252.0,592.0,155665,148977
2024-06-27T15:50:00,20240627155000,35.5,3.17,240.0,591.0,149152,142634
2024-06-27T16:00:00,20240627160000,35.4,3.16,225.0,591.0,140149,133885
2024-06-27T16:10:00,20240627161000,35.2,3.15,211.0,594.0,133608,127539
2024-06-27T16:20:00,20240627162000,35.1,3.14,159.0,597.0,103476,98365
2024-06-27T16:30:00,20240627163000,35.0,3.13,113.0,578.0,75061,70346
2024-06-27T16:40:00,20240627164000,34.9,3.12,105.0,602.0,73977,69251
2024-06-27T16:50:00,20240627165000,34.8,3.11,128.0,596.0,86246,81549
2024-06-27T17:00:00,20240627170000,34.7,3.1,155.0,596.0,101691,96714
2024-06-27T17:10:00,20240627171000,34.5,3.09,147.0,597.0,97193,92373
2024-06-27T17:20:00,20240627172000,34.4,3.08,111.0,590.0,76178,71472
2024-06-27T17:30:00,20240627173000,34.3,3.07,81.4,564.0,57156,52827
2024-06-27T17:40:00,20240627174000,34.2,3.06,48.1,585.0,40328,36661
2024-06-27T17:50:00,20240627175000,33.9,3.05,35.3,571.0,32340,28807
2024-06-27T18:00:00,20240627180000,33.7,3.04,37.0,561.0,32414,28880
2024-06-27T18:10:00,20240627181000,33.4,3.03,42.6,576.0,36283,32761
2024-06-27T18:20:00,20240627182000,33.2,3.02,35.2,573.0,32182,28658
2024-06-27T18:30:00,20240627183000,32.9,3.01,22.4,563.0,24647,21381
2024-06-27T18:40:00,20240627184000,32.7,3.0,14.5,546.0,19465,16593
2024-06-27T18:50:00,20240627185000,32.5,2.99,6.39,547.0,12476,10499
2024-06-27T19:00:00,20240627190000,32.3,2.97,2.63,551.0,7580,6334
2024-06-27T19:10:00,20240627191000,32.2,2.97,2.47,539.0,6251,5206
2024-06-27T19:20:00,20240627192000,32.1,2.96,4.47,530.0,10533,8821
2024-06-27T19:30:00,20240627193000,32.0,2.95,0.00389,490.0,2075,1732
2024-06-27T19:40:00,20240627194000,31.9,2.95,0.0,141.0,0,0
2024-06-27T19:50:00,20240627195000,31.8,2.95,0.0,43.3,0,0
2024-06-27T20:00:00,20240627200000,31.7,2.94,0.0,10.8,0,0
2024-06-27T20:10:00,20240627201000,31.6,2.94,0.0,4.72,0,0
2024-06-27T20:20:00,20240627202000,31.5,2.93,0.0,1.85,0,0
2024-06-27T20:30:00,20240627203000,31.4,2.93,0.0,1.81,0,0
2024-06-27T20:40:00,20240627204000,31.3,2.93,0.0,1.81,0,0
2024-06-27T20:50:00,20240627205000,31.2,2.92,0.0,1.78,0,0
2024-06-27T21:00:00,20240627210000,31.1,2.92,0.0,1.78,0,0
2024-06-27T21:10:00,20240627211000,31.0,2.91,0.0,1.78,0,0
2024-06-27T21:20:00,20240627212000,30.9,2.91,0.0,1.55,0,0
2024-06-27T21:30:00,20240627213000,30.9,2.9,0.0,1.55,0,0
2024-06-27T21:40:00,20240627214000,30.8,2.9,0.0,1.55,0,0
2024-06-27T21:50:00,20240627215000,30.7,2.89,0.0,2.62,0,0
2024-06-27T22:00:00,20240627220000,30.6,2.89,0.0,2.73,0,0
2024-06-27T22:10:00,20240627221000,30.5,2.88,0.0,2.73,0,0
2024-06-27T22:20:00,20240627222000,30.4,2.88,0.0,2.5,0,0
2024-06-27T22:30:00,20240627223000,30.3,2.87,0.0,2.47,0,0
2024-06-27T22:40:00,20240627224000,30.2,2.87,0.0,2.47,0,0
2024-06-27T22:50:00,20240627225000,30.1,2.86,0.0,2.94,0,0
2024-06-27T23:00:00,20240627230000,30.0,2.86,0.0,3.0,0,0
2024-06-27T23:10:00,20240627231000,29.9,2.85,0.0,3.0,0,0
2024-06-27T23:20:00,20240627232000,29.9,2.85,0.0,2.2,0,0
2024-06-27T23:30:00,20240627233000,29.9,2.84,0.0,2.11,0,0
2024-06-27T23:40:00,20240627234000,29.8,2.84,0.0,2.11,0,0
2024-06-27T23:50:00,20240627235000,29.8,2.83,0.0,2.05,0,0
2024-06-28T00:00:00,20240628000000,29.8,2.83,0.0,2.04,0,0
2024-06-28T00:10:00,20240628001000,29.7,2.82,0.0,2.04,0,0
2024-06-28T00:20:00,20240628002000,29.7,2.82,0.0,2.49,0,0
