Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,17.8
2024-06-26T15:40:00,20240626154000,16.6
2024-06-26T15:50:00,20240626155000,15.7
2024-06-26T16:00:00,20240626160000,14.8
2024-06-26T16:10:00,20240626161000,13.3
2024-06-26T16:20:00,20240626162000,12.4
2024-06-26T16:30:00,20240626163000,11.4
2024-06-26T16:40:00,20240626164000,10.5
2024-06-26T16:50:00,20240626165000,9.46
2024-06-26T17:00:00,20240626170000,8.37
2024-06-26T17:10:00,20240626171000,7.28
2024-06-26T17:20:00,20240626172000,6.2
2024-06-26T17:30:00,20240626173000,5.11
2024-06-26T17:40:00,20240626174000,4.01
2024-06-26T17:50:00,20240626175000,3.21
2024-06-26T18:00:00,20240626180000,2.64
2024-06-26T18:10:00,20240626181000,2.08
2024-06-26T18:20:00,20240626182000,0.887
2024-06-26T18:30:00,20240626183000,0.241
2024-06-26T18:40:00,20240626184000,0.131
2024-06-26T18:50:00,20240626185000,0.138
2024-06-26T19:00:00,20240626190000,0.171
2024-06-26T19:10:00,20240626191000,0.203
2024-06-26T19:20:00,20240626192000,0.203
2024-06-26T19:30:00,20240626193000,0.189
2024-06-26T19:40:00,20240626194000,0.175
2024-06-26T19:50:00,20240626195000,0.161
2024-06-26T20:00:00,20240626200000,0.146
2024-06-26T20:10:00,20240626201000,0.132
2024-06-26T20:20:00,20240626202000,0.118
2024-06-26T20:30:00,20240626203000,0.104
2024-06-26T20:40:00,20240626204000,0.0902
2024-06-26T20:50:00,20240626205000,0.0761
2024-06-26T21:00:00,20240626210000,0.0621
2024-06-26T21:10:00,20240626211000,0.048
2024-06-26T21:20:00,20240626212000,0.0339
2024-06-26T21:30:00,20240626213000,0.0199
2024-06-26T21:40:00,20240626214000,0.0058
2024-06-26T21:50:00,20240626215000,-0.00827
2024-06-26T22:00:00,20240626220000,-0.0223
2024-06-26T22:10:00,20240626221000,-0.0364
2024-06-26T22:20:00,20240626222000,-0.0505
2024-06-26T22:30:00,20240626223000,-0.0646
2024-06-26T22:40:00,20240626224000,-0.0777
2024-06-26T22:50:00,20240626225000,-0.0618
2024-06-26T23:00:00,20240626230000,-0.0317
2024-06-26T23:10:00,20240626231000,-0.0023
2024-06-26T23:20:00,20240626232000,0.00418
2024-06-26T23:30:00,20240626233000,-0.00045
2024-06-26T23:40:00,20240626234000,-0.00508
2024-06-26T23:50:00,20240626235000,-0.00972
2024-06-27T00:00:00,20240627000000,-0.0144
2024-06-27T00:10:00,20240627001000,-0.019
2024-06-27T00:20:00,20240627002000,-0.0236
2024-06-27T00:30:00,20240627003000,-0.0283
2024-06-27T00:40:00,20240627004000,-0.0329
2024-06-27T00:50:00,20240627005000,-0.0375
2024-06-27T01:00:00,20240627010000,-0.0422
2024-06-27T01:10:00,20240627011000,0.0476
2024-06-27T01:20:00,20240627012000,0.051
2024-06-27T01:30:00,20240627013000,0.0544
2024-06-27T01:40:00,20240627014000,0.0579
2024-06-27T01:50:00,20240627015000,0.0613
2024-06-27T02:00:00,20240627020000,0.0647
2024-06-27T02:10:00,20240627021000,0.0682
2024-06-27T02:20:00,20240627022000,0.0716
2024-06-27T02:30:00,20240627023000,0.075
2024-06-27T02:40:00,20240627024000,0.0785
2024-06-27T02:50:00,20240627025000,0.0819
2024-06-27T03:00:00,20240627030000,0.0853
2024-06-27T03:10:00,20240627031000,0.0888
2024-06-27T03:20:00,20240627032000,0.0922
2024-06-27T03:30:00,20240627033000,0.0956
2024-06-27T03:40:00,20240627034000,0.0991
2024-06-27T03:50:00,20240627035000,0.102
2024-06-27T04:00:00,20240627040000,0.106
2024-06-27T04:10:00,20240627041000,0.109
2024-06-27T04:20:00,20240627042000,0.113
2024-06-27T04:30:00,20240627043000,0.116
2024-06-27T04:40:00,20240627044000,0.12
2024-06-27T04:50:00,20240627045000,0.123
2024-06-27T05:00:00,20240627050000,0.131
2024-06-27T05:10:00,20240627051000,0.414
2024-06-27T05:20:00,20240627052000,0.662
2024-06-27T05:30:00,20240627053000,0.29
2024-06-27T05:40:00,20240627054000,1.43
2024-06-27T05:50:00,20240627055000,2.82
2024-06-27T06:00:00,20240627060000,3.58
2024-06-27T06:10:00,20240627061000,4.33
2024-06-27T06:20:00,20240627062000,5.09
2024-06-27T06:30:00,20240627063000,5.85
2024-06-27T06:40:00,20240627064000,6.63
2024-06-27T06:50:00,20240627065000,8.14
2024-06-27T07:00:00,20240627070000,9.31
2024-06-27T07:10:00,20240627071000,10.8
2024-06-27T07:20:00,20240627072000,12.1
2024-06-27T07:30:00,20240627073000,12.0
2024-06-27T07:40:00,20240627074000,14.5
2024-06-27T07:50:00,20240627075000,15.9
2024-06-27T08:00:00,20240627080000,17.2
2024-06-27T08:10:00,20240627081000,18.6
2024-06-27T08:20:00,20240627082000,19.4
2024-06-27T08:30:00,20240627083000,19.5
2024-06-27T08:40:00,20240627084000,21.0
2024-06-27T08:50:00,20240627085000,22.1
2024-06-27T09:00:00,20240627090000,22.6
2024-06-27T09:10:00,20240627091000,23.9
2024-06-27T09:20:00,20240627092000,24.7
2024-06-27T09:30:00,20240627093000,25.6
2024-06-27T09:40:00,20240627094000,26.4
2024-06-27T09:50:00,20240627095000,27.2
2024-06-27T10:00:00,20240627100000,27.8
2024-06-27T10:10:00,20240627101000,27.9
2024-06-27T10:20:00,20240627102000,28.6
2024-06-27T10:30:00,20240627103000,29.7
2024-06-27T10:40:00,20240627104000,30.5
2024-06-27T10:50:00,20240627105000,30.8
2024-06-27T11:00:00,20240627110000,31.7
2024-06-27T11:10:00,20240627111000,31.5
2024-06-27T11:20:00,20240627112000,31.2
2024-06-27T11:30:00,20240627113000,32.0
2024-06-27T11:40:00,20240627114000,32.0
2024-06-27T11:50:00,20240627115000,32.0
2024-06-27T12:00:00,20240627120000,31.1
2024-06-27T12:10:00,20240627121000,29.8
2024-06-27T12:20:00,20240627122000,29.9
2024-06-27T12:30:00,20240627123000,30.1
2024-06-27T12:40:00,20240627124000,30.0
2024-06-27T12:50:00,20240627125000,29.7
2024-06-27T13:00:00,20240627130000,29.1
2024-06-27T13:10:00,20240627131000,29.3
2024-06-27T13:20:00,20240627132000,27.2
2024-06-27T13:30:00,20240627133000,27.3
2024-06-27T13:40:00,20240627134000,27.9
2024-06-27T13:50:00,20240627135000,26.9
2024-06-27T14:00:00,20240627140000,24.8
2024-06-27T14:10:00,20240627141000,25.8
2024-06-27T14:20:00,20240627142000,23.9
2024-06-27T14:30:00,20240627143000,24.1
2024-06-27T14:40:00,20240627144000,21.7
2024-06-27T14:50:00,20240627145000,20.2
