Time,sanitized_timestamp_for_iri,s4MMDC.Amp.mag.f
2024-06-26T15:30:00,20240626153000,39.7
2024-06-26T15:40:00,20240626154000,36.9
2024-06-26T15:50:00,20240626155000,35.5
2024-06-26T16:00:00,20240626160000,31.9
2024-06-26T16:10:00,20240626161000,29.2
2024-06-26T16:20:00,20240626162000,27.1
2024-06-26T16:30:00,20240626163000,24.9
2024-06-26T16:40:00,20240626164000,22.0
2024-06-26T16:50:00,20240626165000,20.1
2024-06-26T17:00:00,20240626170000,18.3
2024-06-26T17:10:00,20240626171000,15.0
2024-06-26T17:20:00,20240626172000,13.5
2024-06-26T17:30:00,20240626173000,11.1
2024-06-26T17:40:00,20240626174000,8.71
2024-06-26T17:50:00,20240626175000,6.97
2024-06-26T18:00:00,20240626180000,5.7
2024-06-26T18:10:00,20240626181000,4.42
2024-06-26T18:20:00,20240626182000,3.13
2024-06-26T18:30:00,20240626183000,2.03
2024-06-26T18:40:00,20240626184000,0.896
2024-06-26T18:50:00,20240626185000,0.896
2024-06-26T19:00:00,20240626190000,0.783
2024-06-26T19:10:00,20240626191000,0.782
2024-06-26T19:20:00,20240626192000,0.769
2024-06-26T19:30:00,20240626193000,0.755
2024-06-26T19:40:00,20240626194000,0.741
2024-06-26T19:50:00,20240626195000,0.727
2024-06-26T20:00:00,20240626200000,0.714
2024-06-26T20:10:00,20240626201000,0.7
2024-06-26T20:20:00,20240626202000,0.686
2024-06-26T20:30:00,20240626203000,0.672
2024-06-26T20:40:00,20240626204000,0.659
2024-06-26T20:50:00,20240626205000,0.645
2024-06-26T21:00:00,20240626210000,0.631
2024-06-26T21:10:00,20240626211000,0.617
2024-06-26T21:20:00,20240626212000,0.604
2024-06-26T21:30:00,20240626213000,0.59
2024-06-26T21:40:00,20240626214000,0.576
2024-06-26T21:50:00,20240626215000,0.562
2024-06-26T22:00:00,20240626220000,0.549
2024-06-26T22:10:00,20240626221000,0.535
2024-06-26T22:20:00,20240626222000,0.521
2024-06-26T22:30:00,20240626223000,0.507
2024-06-26T22:40:00,20240626224000,0.494
2024-06-26T22:50:00,20240626225000,0.48
2024-06-26T23:00:00,20240626230000,0.0995
2024-06-26T23:10:00,20240626231000,-0.169
2024-06-26T23:20:00,20240626232000,-0.16
2024-06-26T23:30:00,20240626233000,-0.152
2024-06-26T23:40:00,20240626234000,-0.143
2024-06-26T23:50:00,20240626235000,-0.134
2024-06-27T00:00:00,20240627000000,-0.126
