Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,37.1,53.7,441.0,578.0,250572.0,240357.0
2024-06-26T15:40:00,20240626154000,36.9,53.6,410.0,585.0,235620.0,225739.0
2024-06-26T15:50:00,20240626155000,36.7,53.5,384.0,587.0,220007.0,210513.0
2024-06-26T16:00:00,20240626160000,36.6,53.4,354.0,597.0,205293.0,196199.0
2024-06-26T16:10:00,20240626161000,36.4,53.3,304.0,620.0,183483.0,175045.0
2024-06-26T16:20:00,20240626162000,36.2,52.9,293.0,602.0,171871.0,163813.0
2024-06-26T16:30:00,20240626163000,36.0,50.4,260.0,602.0,151551.0,144209.0
2024-06-26T16:40:00,20240626164000,35.9,47.6,227.0,603.0,131887.0,125192.0
2024-06-26T16:50:00,20240626165000,35.7,44.7,206.0,595.0,118831.0,112075.0
2024-06-26T17:00:00,20240626170000,35.5,41.9,190.0,573.0,105929.0,99176.0
2024-06-26T17:10:00,20240626171000,35.3,39.1,163.0,580.0,91652.0,85132.0
2024-06-26T17:20:00,20240626172000,35.2,37.1,138.0,585.0,77649.0,71560.0
2024-06-26T17:30:00,20240626173000,35.0,35.3,117.0,565.0,63147.0,57735.0
2024-06-26T17:40:00,20240626174000,34.8,33.4,95.7,536.0,49246.0,44209.0
2024-06-26T17:50:00,20240626175000,34.6,31.5,73.5,540.0,37772.0,32978.0
2024-06-26T18:00:00,20240626180000,34.5,29.8,56.4,530.0,28012.0,23899.0
2024-06-26T18:10:00,20240626181000,34.3,28.9,45.7,508.0,21081.0,17697.0
2024-06-26T18:20:00,20240626182000,34.1,28.1,34.9,502.0,15364.0,12728.0
2024-06-26T18:30:00,20240626183000,33.8,27.2,25.4,498.0,9971.0,8160.0
2024-06-26T18:40:00,20240626184000,33.5,26.4,19.1,476.0,6245.0,5070.0
2024-06-26T18:50:00,20240626185000,33.3,25.8,13.4,471.0,3183.0,2566.0
2024-06-26T19:00:00,20240626190000,33.1,24.7,3.36,557.0,169.0,136.0
2024-06-26T19:10:00,20240626191000,33.0,22.9,2.93,475.0,0.0,0.0
2024-06-26T19:20:00,20240626192000,32.9,21.8,2.53,362.0,0.0,0.0
2024-06-26T19:30:00,20240626193000,32.7,21.6,2.35,230.0,0.0,0.0
2024-06-26T19:40:00,20240626194000,32.6,21.5,2.61,114.0,0.0,0.0
2024-06-26T19:50:00,20240626195000,32.5,21.3,2.36,41.8,0.0,0.0
2024-06-26T20:00:00,20240626200000,32.3,21.1,4.75,12.2,0.0,0.0
2024-06-26T20:10:00,20240626201000,32.2,21.0,5.36,5.05,0.0,0.0
2024-06-26T20:20:00,20240626202000,32.0,20.8,5.19,4.28,0.0,0.0
2024-06-26T20:30:00,20240626203000,31.9,20.6,5.28,4.28,0.0,0.0
2024-06-26T20:40:00,20240626204000,31.8,20.5,4.94,3.42,0.0,0.0
2024-06-26T20:50:00,20240626205000,31.6,20.3,5.45,2.84,0.0,0.0
2024-06-26T21:00:00,20240626210000,31.5,20.1,5.13,2.84,0.0,0.0
2024-06-26T21:10:00,20240626211000,31.4,20.0,5.36,2.66,0.0,0.0
2024-06-26T21:20:00,20240626212000,31.2,19.8,5.3,2.54,0.0,0.0
2024-06-26T21:30:00,20240626213000,31.1,19.6,5.08,2.54,0.0,0.0
2024-06-26T21:40:00,20240626214000,31.0,19.5,5.35,2.27,0.0,0.0
2024-06-26T21:50:00,20240626215000,30.8,19.3,5.28,2.08,0.0,0.0
2024-06-26T22:00:00,20240626220000,30.7,19.2,5.24,2.08,0.0,0.0
2024-06-26T22:10:00,20240626221000,30.5,19.0,5.34,2.58,0.0,0.0
2024-06-26T22:20:00,20240626222000,30.4,19.0,5.14,2.9,0.0,0.0
2024-06-26T22:30:00,20240626223000,30.4,19.1,5.34,2.9,0.0,0.0
2024-06-26T22:40:00,20240626224000,30.3,19.1,5.36,3.14,0.0,0.0
2024-06-26T22:50:00,20240626225000,30.3,19.1,5.0,3.3,0.0,0.0
2024-06-26T23:00:00,20240626230000,30.2,19.0,5.02,3.3,0.0,0.0
2024-06-26T23:10:00,20240626231000,30.1,18.9,5.48,3.57,0.0,0.0
2024-06-26T23:20:00,20240626232000,29.9,18.9,5.25,3.76,0.0,0.0
2024-06-26T23:30:00,20240626233000,29.9,18.9,5.01,3.76,0.0,0.0
2024-06-26T23:40:00,20240626234000,29.9,19.0,4.99,3.44,0.0,0.0
2024-06-26T23:50:00,20240626235000,29.8,19.0,5.5,3.23,0.0,0.0
2024-06-27T00:00:00,20240627000000,29.8,19.1,5.27,3.23,0.0,0.0
2024-06-27T00:10:00,20240627001000,29.8,19.1,5.01,2.68,0.0,0.0
2024-06-27T00:20:00,20240627002000,29.8,19.2,5.05,2.31,0.0,0.0
2024-06-27T00:30:00,20240627003000,29.7,19.2,5.5,2.31,0.0,0.0
2024-06-27T00:40:00,20240627004000,29.7,18.9,5.28,3.12,0.0,0.0
2024-06-27T00:50:00,20240627005000,29.7,18.9,5.07,3.66,0.0,0.0
2024-06-27T01:00:00,20240627010000,29.7,19.0,5.23,3.66,0.0,0.0
