Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,0,42.1,119.0,585.0,232231.0,222430
2024-06-26T15:40:00,20240626154000,0,41.2,109.0,604.0,215784.0,206404
2024-06-26T15:50:00,20240626155000,0,40.4,99.9,608.0,202503.0,193489
2024-06-26T16:00:00,20240626160000,0,39.5,91.9,618.0,188444.0,179851
2024-06-26T16:10:00,20240626161000,0,38.6,85.2,603.0,170354.0,162346
2024-06-26T16:20:00,20240626162000,0,37.8,83.1,576.0,160560.0,152892
2024-06-26T16:30:00,20240626163000,0,36.9,74.0,577.0,140925.0,133981
2024-06-26T16:40:00,20240626164000,0,36.1,66.8,549.0,122242.0,115522
2024-06-26T16:50:00,20240626165000,0,35.2,61.7,541.0,111013.0,104239
2024-06-26T17:00:00,20240626170000,0,34.4,53.7,558.0,99276.0,92603
2024-06-26T17:10:00,20240626171000,0,33.5,45.7,573.0,87123.0,80720
2024-06-26T17:20:00,20240626172000,0,32.6,39.9,546.0,72855.0,66965
2024-06-26T17:30:00,20240626173000,0,31.8,32.0,565.0,59443.0,54200
2024-06-26T17:40:00,20240626174000,0,31.1,25.9,561.0,46654.0,41637
2024-06-26T17:50:00,20240626175000,0,30.4,18.4,577.0,33707.0,29147
2024-06-26T18:00:00,20240626180000,0,29.7,15.2,537.0,25650.0,21760
2024-06-26T18:10:00,20240626181000,0,29.0,12.8,476.0,20637.0,17298
2024-06-26T18:20:00,20240626182000,0,28.3,4.77,612.0,7108.0,5891
2024-06-26T18:30:00,20240626183000,0,27.6,1.05,661.0,1071.0,878
2024-06-26T18:40:00,20240626184000,0,27.1,1.83,577.0,3085.0,2504
2024-06-26T18:50:00,20240626185000,0,26.6,0.709,580.0,458.0,370
2024-06-26T19:00:00,20240626190000,0,26.3,0.357,531.0,0.0,0
2024-06-26T19:10:00,20240626191000,0,26.1,0.324,443.0,0.0,0
2024-06-26T19:20:00,20240626192000,0,25.9,0.155,331.0,0.0,0
2024-06-26T19:30:00,20240626193000,0,25.6,0.112,206.0,0.0,0
2024-06-26T19:40:00,20240626194000,0,25.4,0.1,100.0,0.0,0
2024-06-26T19:50:00,20240626195000,0,25.2,0.1,36.8,0.0,0
2024-06-26T20:00:00,20240626200000,0,25.0,0.1,11.0,0.0,0
2024-06-26T20:10:00,20240626201000,0,24.8,0.1,4.44,0.0,0
2024-06-26T20:20:00,20240626202000,0,24.6,0.1,1.94,0.0,0
2024-06-26T20:30:00,20240626203000,0,24.4,0.1,1.91,0.0,0
2024-06-26T20:40:00,20240626204000,0,24.2,0.1,1.91,0.0,0
2024-06-26T20:50:00,20240626205000,0,24.0,0.1,1.97,0.0,0
2024-06-26T21:00:00,20240626210000,0,23.7,0.1,1.97,0.0,0
2024-06-26T21:10:00,20240626211000,0,23.5,0.1,1.97,0.0,0
2024-06-26T21:20:00,20240626212000,0,23.3,0.1,2.01,0.0,0
2024-06-26T21:30:00,20240626213000,0,23.2,0.1,2.01,0.0,0
2024-06-26T21:40:00,20240626214000,0,23.2,0.1,2.0,0.0,0
2024-06-26T21:50:00,20240626215000,0,23.2,0.1,1.88,0.0,0
2024-06-26T22:00:00,20240626220000,0,23.1,0.1,1.87,0.0,0
2024-06-26T22:10:00,20240626221000,0,23.1,0.1,1.88,0.0,0
2024-06-26T22:20:00,20240626222000,0,23.1,0.1,2.07,0.0,0
2024-06-26T22:30:00,20240626223000,0,23.0,0.1,2.07,0.0,0
2024-06-26T22:40:00,20240626224000,0,23.0,0.103,2.08,0.0,0
2024-06-26T22:50:00,20240626225000,0,23.0,0.149,2.56,0.0,0
2024-06-26T23:00:00,20240626230000,0,23.0,0.198,2.56,0.0,0
2024-06-26T23:10:00,20240626231000,0,23.1,0.206,2.56,0.0,0
2024-06-26T23:20:00,20240626232000,0,23.3,0.211,2.05,0.0,0
