Time,sanitized_timestamp_for_iri,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,837143
2024-06-26T15:40:00,20240626154000,816368
2024-06-26T15:50:00,20240626155000,795593
2024-06-26T16:00:00,20240626160000,774818
2024-06-26T16:10:00,20240626161000,754043
2024-06-26T16:20:00,20240626162000,733269
2024-06-26T16:30:00,20240626163000,712494
2024-06-26T16:40:00,20240626164000,691719
2024-06-26T16:50:00,20240626165000,670944
2024-06-26T17:00:00,20240626170000,643856
2024-06-26T17:10:00,20240626171000,589197
2024-06-26T17:20:00,20240626172000,531317
2024-06-26T17:30:00,20240626173000,473437
2024-06-26T17:40:00,20240626174000,415557
2024-06-26T17:50:00,20240626175000,357677
2024-06-26T18:00:00,20240626180000,299797
2024-06-26T18:10:00,20240626181000,241917
2024-06-26T18:20:00,20240626182000,184037
2024-06-26T18:30:00,20240626183000,126157
2024-06-26T18:40:00,20240626184000,70621
2024-06-26T18:50:00,20240626185000,32568
2024-06-26T19:00:00,20240626190000,27346
2024-06-26T19:10:00,20240626191000,26483
2024-06-26T19:20:00,20240626192000,25274
2024-06-26T19:30:00,20240626193000,24066
2024-06-26T19:40:00,20240626194000,22858
2024-06-26T19:50:00,20240626195000,21649
2024-06-26T20:00:00,20240626200000,20441
2024-06-26T20:10:00,20240626201000,19233
2024-06-26T20:20:00,20240626202000,18024
2024-06-26T20:30:00,20240626203000,16816
2024-06-26T20:40:00,20240626204000,15608
2024-06-26T20:50:00,20240626205000,14399
2024-06-26T21:00:00,20240626210000,13191
2024-06-26T21:10:00,20240626211000,11983
2024-06-26T21:20:00,20240626212000,10774
2024-06-26T21:30:00,20240626213000,9566
2024-06-26T21:40:00,20240626214000,8358
2024-06-26T21:50:00,20240626215000,7149
2024-06-26T22:00:00,20240626220000,5941
2024-06-26T22:10:00,20240626221000,4733
2024-06-26T22:20:00,20240626222000,3524
2024-06-26T22:30:00,20240626223000,2316
2024-06-26T22:40:00,20240626224000,1108
2024-06-26T22:50:00,20240626225000,105
2024-06-26T23:00:00,20240626230000,0
2024-06-26T23:10:00,20240626231000,0
2024-06-26T23:20:00,20240626232000,0
2024-06-26T23:30:00,20240626233000,0
2024-06-26T23:40:00,20240626234000,0
2024-06-26T23:50:00,20240626235000,0
2024-06-27T00:00:00,20240627000000,0
2024-06-27T00:10:00,20240627001000,0
2024-06-27T00:20:00,20240627002000,0
2024-06-27T00:30:00,20240627003000,0
2024-06-27T00:40:00,20240627004000,0
2024-06-27T00:50:00,20240627005000,0
2024-06-27T01:00:00,20240627010000,0
2024-06-27T01:10:00,20240627011000,17590
2024-06-27T01:20:00,20240627012000,18934
2024-06-27T01:30:00,20240627013000,20279
2024-06-27T01:40:00,20240627014000,21623
2024-06-27T01:50:00,20240627015000,22968
2024-06-27T02:00:00,20240627020000,24312
2024-06-27T02:10:00,20240627021000,113591
2024-06-27T02:20:00,20240627022000,119544
2024-06-27T02:30:00,20240627023000,125496
2024-06-27T02:40:00,20240627024000,131448
2024-06-27T02:50:00,20240627025000,137401
2024-06-27T03:00:00,20240627030000,143353
2024-06-27T03:10:00,20240627031000,355243
2024-06-27T03:20:00,20240627032000,369405
2024-06-27T03:30:00,20240627033000,383568
2024-06-27T03:40:00,20240627034000,397730
2024-06-27T03:50:00,20240627035000,411893
2024-06-27T04:00:00,20240627040000,426055
2024-06-27T04:10:00,20240627041000,440218
2024-06-27T04:20:00,20240627042000,454380
2024-06-27T04:30:00,20240627043000,468543
2024-06-27T04:40:00,20240627044000,482705
2024-06-27T04:50:00,20240627045000,496868
2024-06-27T05:00:00,20240627050000,511030
2024-06-27T05:10:00,20240627051000,525193
2024-06-27T05:20:00,20240627052000,539355
2024-06-27T05:30:00,20240627053000,553518
2024-06-27T05:40:00,20240627054000,567680
2024-06-27T05:50:00,20240627055000,581843
2024-06-27T06:00:00,20240627060000,596005
2024-06-27T06:10:00,20240627061000,610168
2024-06-27T06:20:00,20240627062000,624330
2024-06-27T06:30:00,20240627063000,638493
2024-06-27T06:40:00,20240627064000,652655
2024-06-27T06:50:00,20240627065000,666818
2024-06-27T07:00:00,20240627070000,688743
2024-06-27T07:10:00,20240627071000,744570
2024-06-27T07:20:00,20240627072000,804357
2024-06-27T07:30:00,20240627073000,864145
2024-06-27T07:40:00,20240627074000,923932
2024-06-27T07:50:00,20240627075000,983720
2024-06-27T08:00:00,20240627080000,1043507
2024-06-27T08:10:00,20240627081000,1034250
2024-06-27T08:20:00,20240627082000,1084290
2024-06-27T08:30:00,20240627083000,1134330
2024-06-27T08:40:00,20240627084000,1184370
2024-06-27T08:50:00,20240627085000,1234410
2024-06-27T09:00:00,20240627090000,1284450
2024-06-27T09:10:00,20240627091000,1207458
2024-06-27T09:20:00,20240627092000,1247789
2024-06-27T09:30:00,20240627093000,1288119
2024-06-27T09:40:00,20240627094000,1328450
2024-06-27T09:50:00,20240627095000,1368780
2024-06-27T10:00:00,20240627100000,1409111
2024-06-27T10:10:00,20240627101000,1217859
2024-06-27T10:20:00,20240627102000,1246054
2024-06-27T10:30:00,20240627103000,1274250
2024-06-27T10:40:00,20240627104000,1302445
2024-06-27T10:50:00,20240627105000,1330640
2024-06-27T11:00:00,20240627110000,1358835
2024-06-27T11:10:00,20240627111000,1154136
2024-06-27T11:20:00,20240627112000,1173047
2024-06-27T11:30:00,20240627113000,1191957
2024-06-27T11:40:00,20240627114000,1210868
2024-06-27T11:50:00,20240627115000,1229778
2024-06-27T12:00:00,20240627120000,1248688
2024-06-27T12:10:00,20240627121000,1267599
2024-06-27T12:20:00,20240627122000,1286509
2024-06-27T12:30:00,20240627123000,1305420
2024-06-27T12:40:00,20240627124000,1324330
2024-06-27T12:50:00,20240627125000,1343240
2024-06-27T13:00:00,20240627130000,1362151
2024-06-27T13:10:00,20240627131000,1381061
2024-06-27T13:20:00,20240627132000,1399972
2024-06-27T13:30:00,20240627133000,1418882
2024-06-27T13:40:00,20240627134000,1437793
2024-06-27T13:50:00,20240627135000,1456703
2024-06-27T14:00:00,20240627140000,1475613
2024-06-27T14:10:00,20240627141000,1494524
2024-06-27T14:20:00,20240627142000,1513434
2024-06-27T14:30:00,20240627143000,1532345
2024-06-27T14:40:00,20240627144000,1551255
2024-06-27T14:50:00,20240627145000,1570165
2024-06-27T15:00:00,20240627150000,1572641
2024-06-27T15:10:00,20240627151000,1513853
2024-06-27T15:20:00,20240627152000,1445871
2024-06-27T15:30:00,20240627153000,1377889
2024-06-27T15:40:00,20240627154000,1309908
2024-06-27T15:50:00,20240627155000,1241926
2024-06-27T16:00:00,20240627160000,1173944
2024-06-27T16:10:00,20240627161000,1105962
2024-06-27T16:20:00,20240627162000,1037980
2024-06-27T16:30:00,20240627163000,969998
2024-06-27T16:40:00,20240627164000,902017
2024-06-27T16:50:00,20240627165000,834035
2024-06-27T17:00:00,20240627170000,766053
2024-06-27T17:10:00,20240627171000,698071
2024-06-27T17:20:00,20240627172000,630089
2024-06-27T17:30:00,20240627173000,562108
2024-06-27T17:40:00,20240627174000,494126
2024-06-27T17:50:00,20240627175000,426144
2024-06-27T18:00:00,20240627180000,358162
2024-06-27T18:10:00,20240627181000,290180
2024-06-27T18:20:00,20240627182000,222198
2024-06-27T18:30:00,20240627183000,154217
2024-06-27T18:40:00,20240627184000,97024
2024-06-27T18:50:00,20240627185000,86930
2024-06-27T19:00:00,20240627190000,82335
2024-06-27T19:10:00,20240627191000,81009
2024-06-27T19:20:00,20240627192000,77475
2024-06-27T19:30:00,20240627193000,73941
2024-06-27T19:40:00,20240627194000,70406
2024-06-27T19:50:00,20240627195000,66872
2024-06-27T20:00:00,20240627200000,63338
2024-06-27T20:10:00,20240627201000,64083
2024-06-27T20:20:00,20240627202000,61020
2024-06-27T20:30:00,20240627203000,57957
2024-06-27T20:40:00,20240627204000,54894
2024-06-27T20:50:00,20240627205000,51831
2024-06-27T21:00:00,20240627210000,48768
2024-06-27T21:10:00,20240627211000,45705
2024-06-27T21:20:00,20240627212000,42642
2024-06-27T21:30:00,20240627213000,39579
2024-06-27T21:40:00,20240627214000,36516
2024-06-27T21:50:00,20240627215000,33453
2024-06-27T22:00:00,20240627220000,30390
2024-06-27T22:10:00,20240627221000,27327
2024-06-27T22:20:00,20240627222000,24264
2024-06-27T22:30:00,20240627223000,21201
2024-06-27T22:40:00,20240627224000,18138
2024-06-27T22:50:00,20240627225000,15075
2024-06-27T23:00:00,20240627230000,12012
2024-06-27T23:10:00,20240627231000,8949
2024-06-27T23:20:00,20240627232000,5886
2024-06-27T23:30:00,20240627233000,2823
2024-06-27T23:40:00,20240627234000,272
2024-06-27T23:50:00,20240627235000,0
2024-06-28T00:00:00,20240628000000,0
2024-06-28T00:10:00,20240628001000,0
2024-06-28T00:20:00,20240628002000,0
2024-06-28T00:30:00,20240628003000,0
2024-06-28T00:40:00,20240628004000,0
2024-06-28T00:50:00,20240628005000,0
2024-06-28T01:00:00,20240628010000,0
2024-06-28T01:10:00,20240628011000,15853
2024-06-28T01:20:00,20240628012000,17814
2024-06-28T01:30:00,20240628013000,19775
2024-06-28T01:40:00,20240628014000,21736
2024-06-28T01:50:00,20240628015000,23698
2024-06-28T02:00:00,20240628020000,25659
2024-06-28T02:10:00,20240628021000,104364
2024-06-28T02:20:00,20240628022000,111775
2024-06-28T02:30:00,20240628023000,119185
2024-06-28T02:40:00,20240628024000,126596
2024-06-28T02:50:00,20240628025000,134006
2024-06-28T03:00:00,20240628030000,141417
2024-06-28T03:10:00,20240628031000,273823
2024-06-28T03:20:00,20240628032000,287458
2024-06-28T03:30:00,20240628033000,301092
2024-06-28T03:40:00,20240628034000,314726
2024-06-28T03:50:00,20240628035000,328361
2024-06-28T04:00:00,20240628040000,341995
2024-06-28T04:10:00,20240628041000,596167
2024-06-28T04:20:00,20240628042000,619023
2024-06-28T04:30:00,20240628043000,641880
2024-06-28T04:40:00,20240628044000,664736
2024-06-28T04:50:00,20240628045000,687592
2024-06-28T05:00:00,20240628050000,710448
2024-06-28T05:10:00,20240628051000,733305
2024-06-28T05:20:00,20240628052000,756161
2024-06-28T05:30:00,20240628053000,779017
2024-06-28T05:40:00,20240628054000,801873
2024-06-28T05:50:00,20240628055000,824730
2024-06-28T06:00:00,20240628060000,847586
2024-06-28T06:10:00,20240628061000,870442
2024-06-28T06:20:00,20240628062000,893298
2024-06-28T06:30:00,20240628063000,916155
2024-06-28T06:40:00,20240628064000,939011
2024-06-28T06:50:00,20240628065000,961867
2024-06-28T07:00:00,20240628070000,984723
2024-06-28T07:10:00,20240628071000,1007580
2024-06-28T07:20:00,20240628072000,1030436
2024-06-28T07:30:00,20240628073000,1053292
2024-06-28T07:40:00,20240628074000,1076148
2024-06-28T07:50:00,20240628075000,1104230
2024-06-28T08:00:00,20240628080000,1155133
2024-06-28T08:10:00,20240628081000,1183661
2024-06-28T08:20:00,20240628082000,1225210
2024-06-28T08:30:00,20240628083000,1266759
2024-06-28T08:40:00,20240628084000,1308309
2024-06-28T08:50:00,20240628085000,1349858
2024-06-28T09:00:00,20240628090000,1391407
2024-06-28T09:10:00,20240628091000,1340604
2024-06-28T09:20:00,20240628092000,1370728
2024-06-28T09:30:00,20240628093000,1400852
2024-06-28T09:40:00,20240628094000,1430976
2024-06-28T09:50:00,20240628095000,1461101
2024-06-28T10:00:00,20240628100000,1491225
2024-06-28T10:10:00,20240628101000,1358505
2024-06-28T10:20:00,20240628102000,1377067
2024-06-28T10:30:00,20240628103000,1395628
2024-06-28T10:40:00,20240628104000,1414189
2024-06-28T10:50:00,20240628105000,1432751
2024-06-28T11:00:00,20240628110000,1451312
2024-06-28T11:10:00,20240628111000,1295217
2024-06-28T11:20:00,20240628112000,1305082
2024-06-28T11:30:00,20240628113000,1314946
2024-06-28T11:40:00,20240628114000,1324811
2024-06-28T11:50:00,20240628115000,1334676
2024-06-28T12:00:00,20240628120000,1344540
2024-06-28T12:10:00,20240628121000,1117152
2024-06-28T12:20:00,20240628122000,1117920
2024-06-28T12:30:00,20240628123000,1118689
2024-06-28T12:40:00,20240628124000,1119458
2024-06-28T12:50:00,20240628125000,1120227
2024-06-28T13:00:00,20240628130000,1120995
2024-06-28T13:10:00,20240628131000,1121764
2024-06-28T13:20:00,20240628132000,1122533
2024-06-28T13:30:00,20240628133000,1123302
2024-06-28T13:40:00,20240628134000,1124070
2024-06-28T13:50:00,20240628135000,1124839
2024-06-28T14:00:00,20240628140000,1125608
2024-06-28T14:10:00,20240628141000,1126377
2024-06-28T14:20:00,20240628142000,1127145
2024-06-28T14:30:00,20240628143000,1127914
2024-06-28T14:40:00,20240628144000,1128683
2024-06-28T14:50:00,20240628145000,1129452
2024-06-28T15:00:00,20240628150000,1130220
2024-06-28T15:10:00,20240628151000,1130989
2024-06-28T15:20:00,20240628152000,1131758
2024-06-28T15:30:00,20240628153000,1132527
2024-06-28T15:40:00,20240628154000,1133295
2024-06-28T15:50:00,20240628155000,1123077
2024-06-28T16:00:00,20240628160000,1064877
2024-06-28T16:10:00,20240628161000,1001070
2024-06-28T16:20:00,20240628162000,937264
2024-06-28T16:30:00,20240628163000,873458
2024-06-28T16:40:00,20240628164000,809652
2024-06-28T16:50:00,20240628165000,745845
2024-06-28T17:00:00,20240628170000,682039
2024-06-28T17:10:00,20240628171000,618233
2024-06-28T17:20:00,20240628172000,554427
2024-06-28T17:30:00,20240628173000,490620
2024-06-28T17:40:00,20240628174000,426814
2024-06-28T17:50:00,20240628175000,363008
2024-06-28T18:00:00,20240628180000,299202
2024-06-28T18:10:00,20240628181000,235395
2024-06-28T18:20:00,20240628182000,181039
2024-06-28T18:30:00,20240628183000,168134
2024-06-28T18:40:00,20240628184000,160098
2024-06-28T18:50:00,20240628185000,152061
2024-06-28T19:00:00,20240628190000,144025
2024-06-28T19:10:00,20240628191000,144734
2024-06-28T19:20:00,20240628192000,138420
2024-06-28T19:30:00,20240628193000,132105
2024-06-28T19:40:00,20240628194000,125791
2024-06-28T19:50:00,20240628195000,119477
2024-06-28T20:00:00,20240628200000,113163
2024-06-28T20:10:00,20240628201000,119193
2024-06-28T20:20:00,20240628202000,113993
2024-06-28T20:30:00,20240628203000,108793
2024-06-28T20:40:00,20240628204000,103593
2024-06-28T20:50:00,20240628205000,98393
2024-06-28T21:00:00,20240628210000,93193
2024-06-28T21:10:00,20240628211000,101314
2024-06-28T21:20:00,20240628212000,96894
2024-06-28T21:30:00,20240628213000,92474
2024-06-28T21:40:00,20240628214000,88054
2024-06-28T21:50:00,20240628215000,83634
2024-06-28T22:00:00,20240628220000,79214
2024-06-28T22:10:00,20240628221000,88099
2024-06-28T22:20:00,20240628222000,84255
2024-06-28T22:30:00,20240628223000,80412
