Time,sanitized_timestamp_for_iri,s4DINV.EnclTmp.mag.f,s4DINV.HeatSinkTmp.mag.f,s4MMDC.Amp.mag.f,s4MMDC.Vol.mag.f,s4MMDC.Watt.mag.f,s4MMXU.TotW.mag.f
2024-06-26T15:30:00,20240626153000,53.4,53.7,418.0,598.0,247120.0,236978.0
2024-06-26T15:40:00,20240626154000,53.5,53.7,396.0,595.0,232483.0,222677.0
2024-06-26T15:50:00,20240626155000,53.7,53.6,366.0,601.0,216267.0,206871.0
2024-06-26T16:00:00,20240626160000,53.7,53.5,341.0,601.0,202619.0,193601.0
2024-06-26T16:10:00,20240626161000,53.4,53.4,312.0,593.0,183104.0,174678.0
2024-06-26T16:20:00,20240626162000,53.1,53.4,292.0,587.0,168938.0,160980.0
2024-06-26T16:30:00,20240626163000,52.8,53.3,258.0,594.0,149821.0,142544.0
2024-06-26T16:40:00,20240626164000,52.4,52.3,213.0,627.0,129938.0,123266.0
2024-06-26T16:50:00,20240626165000,51.6,50.6,196.0,622.0,118211.0,111461.0
2024-06-26T17:00:00,20240626170000,51.6,48.9,178.0,601.0,105418.0,98673.0
2024-06-26T17:10:00,20240626171000,52.0,47.2,155.0,599.0,91323.0,84815.0
2024-06-26T17:20:00,20240626172000,52.5,45.6,138.0,564.0,77176.0,71106.0
2024-06-26T17:30:00,20240626173000,53.0,43.9,110.0,598.0,63121.0,57712.0
2024-06-26T17:40:00,20240626174000,53.5,42.2,87.2,589.0,49841.0,44796.0
2024-06-26T17:50:00,20240626175000,53.0,40.5,70.6,557.0,38354.0,33532.0
2024-06-26T18:00:00,20240626180000,53.5,39.0,54.9,553.0,28668.0,24493.0
2024-06-26T18:10:00,20240626181000,53.2,37.8,45.6,500.0,22703.0,19123.0
2024-06-26T18:20:00,20240626182000,52.7,36.7,36.4,480.0,17311.0,14402.0
2024-06-26T18:30:00,20240626183000,52.2,35.5,25.6,501.0,10895.0,8936.0
2024-06-26T18:40:00,20240626184000,51.7,34.3,18.6,498.0,6932.0,5633.0
2024-06-26T18:50:00,20240626185000,51.0,33.3,13.5,480.0,4010.0,3239.0
2024-06-26T19:00:00,20240626190000,50.0,32.0,2.81,595.0,475.0,382.0
2024-06-26T19:10:00,20240626191000,48.5,30.4,1.42,522.0,0.0,0.0
2024-06-26T19:20:00,20240626192000,48.0,30.1,1.38,408.0,0.0,0.0
2024-06-26T19:30:00,20240626193000,48.9,29.9,1.04,266.0,0.0,0.0
2024-06-26T19:40:00,20240626194000,47.1,29.7,1.29,135.0,0.0,0.0
2024-06-26T19:50:00,20240626195000,48.3,29.5,0.787,50.0,0.0,0.0
2024-06-26T20:00:00,20240626200000,46.3,29.3,2.76,15.0,0.0,0.0
2024-06-26T20:10:00,20240626201000,47.4,29.1,4.22,6.16,0.0,0.0
2024-06-26T20:20:00,20240626202000,47.4,28.9,4.0,5.23,0.0,0.0
2024-06-26T20:30:00,20240626203000,47.4,28.7,3.93,5.23,0.0,0.0
2024-06-26T20:40:00,20240626204000,48.7,28.6,3.95,4.22,0.0,0.0
2024-06-26T20:50:00,20240626205000,47.0,28.6,4.08,3.4,0.0,0.0
2024-06-26T21:00:00,20240626210000,48.8,28.7,4.07,3.4,0.0,0.0
2024-06-26T21:10:00,20240626211000,47.2,28.7,3.81,3.38,0.0,0.0
2024-06-26T21:20:00,20240626212000,47.7,28.7,3.75,3.36,0.0,0.0
2024-06-26T21:30:00,20240626213000,49.1,28.8,3.57,3.36,0.0,0.0
2024-06-26T21:40:00,20240626214000,46.4,28.8,3.93,3.22,0.0,0.0
2024-06-26T21:50:00,20240626215000,48.2,28.8,3.93,3.1,0.0,0.0
2024-06-26T22:00:00,20240626220000,47.1,28.2,3.87,3.1,0.0,0.0
2024-06-26T22:10:00,20240626221000,45.9,27.9,3.81,3.39,0.0,0.0
2024-06-26T22:20:00,20240626222000,47.9,28.2,3.75,3.63,0.0,0.0
2024-06-26T22:30:00,20240626223000,46.1,28.6,3.7,3.63,0.0,0.0
2024-06-26T22:40:00,20240626224000,46.5,29.0,3.66,3.59,0.0,0.0
2024-06-26T22:50:00,20240626225000,47.9,29.2,3.62,3.56,0.0,0.0
2024-06-26T23:00:00,20240626230000,47.3,29.2,3.41,3.56,0.0,0.0
2024-06-26T23:10:00,20240626231000,45.6,29.2,3.54,3.63,0.0,0.0
2024-06-26T23:20:00,20240626232000,47.4,29.2,3.66,3.69,0.0,0.0
2024-06-26T23:30:00,20240626233000,48.0,29.3,3.67,3.69,0.0,0.0
2024-06-26T23:40:00,20240626234000,47.4,29.4,3.63,4.16,0.0,0.0
2024-06-26T23:50:00,20240626235000,46.0,29.4,3.63,4.54,0.0,0.0
2024-06-27T00:00:00,20240627000000,48.1,29.4,3.67,4.54,0.0,0.0
2024-06-27T00:10:00,20240627001000,48.8,29.4,3.55,4.44,0.0,0.0
2024-06-27T00:20:00,20240627002000,48.6,29.3,3.43,4.35,0.0,0.0
2024-06-27T00:30:00,20240627003000,45.5,29.3,3.72,4.35,0.0,0.0
2024-06-27T00:40:00,20240627004000,47.0,29.3,3.71,3.77,0.0,0.0
2024-06-27T00:50:00,20240627005000,48.6,29.3,3.51,3.3,0.0,0.0
2024-06-27T01:00:00,20240627010000,47.3,29.3,3.34,3.3,0.0,0.0
2024-06-27T01:10:00,20240627011000,46.1,29.3,3.4,3.93,0.0,0.0
2024-06-27T01:20:00,20240627012000,48.0,29.3,3.51,4.45,0.0,0.0
2024-06-27T01:30:00,20240627013000,48.2,29.3,3.58,4.45,0.0,0.0
2024-06-27T01:40:00,20240627014000,48.3,29.3,3.52,4.03,0.0,0.0
2024-06-27T01:50:00,20240627015000,48.4,29.3,3.46,3.69,0.0,0.0
2024-06-27T02:00:00,20240627020000,46.0,29.2,3.4,3.69,0.0,0.0
2024-06-27T02:10:00,20240627021000,47.0,29.2,3.37,3.58,0.0,0.0
2024-06-27T02:20:00,20240627022000,48.3,29.2,3.34,3.49,0.0,0.0
2024-06-27T02:30:00,20240627023000,47.8,29.2,3.3,3.49,0.0,0.0
2024-06-27T02:40:00,20240627024000,46.0,29.2,3.27,3.75,0.0,0.0
2024-06-27T02:50:00,20240627025000,47.1,29.4,3.24,3.95,0.0,0.0
2024-06-27T03:00:00,20240627030000,48.0,29.6,3.21,3.95,0.0,0.0
2024-06-27T03:10:00,20240627031000,48.1,29.7,3.27,3.73,0.0,0.0
2024-06-27T03:20:00,20240627032000,48.2,29.9,3.39,3.46,0.0,0.0
2024-06-27T03:30:00,20240627033000,48.3,30.1,3.52,3.46,0.0,0.0
2024-06-27T03:40:00,20240627034000,45.9,30.1,3.64,3.98,0.0,0.0
2024-06-27T03:50:00,20240627035000,41.7,28.8,3.96,10.0,0.0,0.0
2024-06-27T04:00:00,20240627040000,44.7,28.9,0.703,34.0,0.0,0.0
2024-06-27T04:10:00,20240627041000,46.5,29.2,0.573,108.0,0.0,0.0
2024-06-27T04:20:00,20240627042000,47.5,29.5,0.771,230.0,0.0,0.0
2024-06-27T04:30:00,20240627043000,47.3,29.7,0.842,347.0,0.0,0.0
2024-06-27T04:40:00,20240627044000,46.8,30.0,0.914,481.0,0.0,0.0
2024-06-27T04:50:00,20240627045000,44.6,30.3,3.44,565.0,977.0,789.0
2024-06-27T05:00:00,20240627050000,40.5,30.5,14.6,482.0,5584.0,4532.0
2024-06-27T05:10:00,20240627051000,42.4,31.8,20.0,544.0,8217.0,6716.0
2024-06-27T05:20:00,20240627052000,44.9,34.2,28.2,520.0,12839.0,10594.0
